label,tn,fp,fn,tp,acc,pre,recall,auc,f1,mcc
Antibacterial_003,16.0,135.0,3.0,462.0,0.776,0.7739,0.9935,0.7139,0.8701,0.2476
MammalianCells_003,228.0,149.0,108.0,131.0,0.5828,0.4679,0.5481,0.6316,0.5048,0.1496
Antifungal_003,412.0,0.0,204.0,0.0,0.6688,,0.0,0.5316,,
Antiviral_003,505.0,3.0,98.0,10.0,0.836,0.7692,0.0926,0.7341,0.1653,0.2293
Anticancer_003,538.0,0.0,78.0,0.0,0.8734,,0.0,0.5411,,
macro_003,,,,,0.7474,0.6703,0.3269,0.6304,0.5134,0.2088
Antibacterial_003,13.0,129.0,10.0,464.0,0.7744,0.7825,0.9789,0.6753,0.8697,0.1565
MammalianCells_003,322.0,59.0,155.0,80.0,0.6526,0.5755,0.3404,0.6519,0.4278,0.2156
Antifungal_003,423.0,0.0,193.0,0.0,0.6867,,0.0,0.6112,,
Antiviral_003,510.0,7.0,89.0,10.0,0.8442,0.5882,0.101,0.7079,0.1724,0.1961
Anticancer_003,544.0,0.0,72.0,0.0,0.8831,,0.0,0.5993,,
macro_003,,,,,0.7682,0.6487,0.2841,0.6491,0.49,0.1894
Antibacterial_003,15.0,133.0,7.0,461.0,0.7727,0.7761,0.985,0.6554,0.8682,0.1989
MammalianCells_003,313.0,39.0,213.0,51.0,0.5909,0.5667,0.1932,0.6504,0.2881,0.1154
Antifungal_003,420.0,2.0,194.0,0.0,0.6818,0.0,0.0,0.5945,,-0.0387
Antiviral_003,508.0,8.0,86.0,14.0,0.8474,0.6364,0.14,0.6933,0.2295,0.2474
Anticancer_003,528.0,0.0,88.0,0.0,0.8571,,0.0,0.5783,,
macro_003,,,,,0.75,0.4948,0.2636,0.6344,0.4619,0.1308
Antibacterial_003,17.0,117.0,14.0,468.0,0.7873,0.8,0.971,0.6702,0.8772,0.1846
MammalianCells_003,291.0,81.0,169.0,75.0,0.5942,0.4808,0.3074,0.5963,0.375,0.1008
Antifungal_003,403.0,0.0,213.0,0.0,0.6542,,0.0,0.5382,,
Antiviral_003,523.0,12.0,68.0,13.0,0.8701,0.52,0.1605,0.7055,0.2453,0.2364
Anticancer_003,533.0,0.0,83.0,0.0,0.8653,,0.0,0.5972,,
macro_003,,,,,0.7542,0.6003,0.2878,0.6215,0.4992,0.1739
Antibacterial_003,15.0,126.0,17.0,458.0,0.7679,0.7842,0.9642,0.6399,0.865,0.1336
MammalianCells_003,258.0,104.0,135.0,119.0,0.612,0.5336,0.4685,0.6351,0.499,0.1856
Antifungal_003,415.0,3.0,198.0,0.0,0.6737,0.0,0.0,0.527,,-0.0481
Antiviral_003,512.0,16.0,78.0,10.0,0.8474,0.3846,0.1136,0.6557,0.1754,0.145
Anticancer_003,544.0,0.0,72.0,0.0,0.8831,,0.0,0.5801,,
macro_003,,,,,0.7568,0.4256,0.3093,0.6076,0.5131,0.104
Antibacterial_003,16.0,139.0,16.0,445.0,0.7484,0.762,0.9653,0.6536,0.8517,0.134
MammalianCells_003,308.0,57.0,183.0,68.0,0.6104,0.544,0.2709,0.6106,0.3617,0.1402
Antifungal_003,416.0,0.0,200.0,0.0,0.6753,,0.0,0.5513,,
Antiviral_003,499.0,13.0,90.0,14.0,0.8328,0.5185,0.1346,0.6903,0.2137,0.1999
Anticancer_003,537.0,0.0,79.0,0.0,0.8718,,0.0,0.5921,,
macro_003,,,,,0.7477,0.6082,0.2742,0.6196,0.4757,0.158
Antibacterial_003,18.0,143.0,17.0,438.0,0.7403,0.7539,0.9626,0.6819,0.8456,0.1413
MammalianCells_003,239.0,138.0,95.0,144.0,0.6218,0.5106,0.6025,0.6525,0.5528,0.2313
Antifungal_003,441.0,1.0,174.0,0.0,0.7159,0.0,0.0,0.5796,,-0.0253
Antiviral_003,495.0,11.0,99.0,11.0,0.8214,0.5,0.1,0.6625,0.1667,0.1615
Anticancer_003,533.0,0.0,83.0,0.0,0.8653,,0.0,0.582,,
macro_003,,,,,0.7529,0.4411,0.333,0.6317,0.5217,0.1272
Antibacterial_003,14.0,136.0,10.0,456.0,0.763,0.7703,0.9785,0.6639,0.862,0.1594
MammalianCells_003,287.0,75.0,176.0,78.0,0.5925,0.5098,0.3071,0.5872,0.3833,0.1138
Antifungal_003,409.0,0.0,207.0,0.0,0.664,,0.0,0.57,,
Antiviral_003,511.0,10.0,83.0,12.0,0.849,0.5455,0.1263,0.6838,0.2051,0.2085
Anticancer_003,524.0,0.0,92.0,0.0,0.8506,,0.0,0.5333,,
macro_003,,,,,0.7438,0.6085,0.2824,0.6076,0.4835,0.1606
Antibacterial_003,15.0,131.0,6.0,464.0,0.7776,0.7798,0.9872,0.6617,0.8714,0.2108
MammalianCells_003,270.0,88.0,153.0,105.0,0.6088,0.544,0.407,0.6321,0.4656,0.1714
Antifungal_003,403.0,0.0,213.0,0.0,0.6542,,0.0,0.5581,,
Antiviral_003,517.0,8.0,78.0,13.0,0.8604,0.619,0.1429,0.7131,0.2321,0.2495
Anticancer_003,543.0,0.0,73.0,0.0,0.8815,,0.0,0.5696,,
macro_003,,,,,0.7565,0.6476,0.3074,0.6269,0.523,0.2106
Antibacterial_003,19.0,128.0,10.0,459.0,0.776,0.7819,0.9787,0.6878,0.8693,0.2172
MammalianCells_003,289.0,51.0,201.0,75.0,0.5909,0.5952,0.2717,0.6338,0.3731,0.1501
Antifungal_003,405.0,0.0,211.0,0.0,0.6575,,0.0,0.5971,,
Antiviral_003,504.0,11.0,93.0,8.0,0.8312,0.4211,0.0792,0.6944,0.1333,0.1239
