label,tn,fp,fn,tp,acc,pre,recall,auc,f1,mcc
Antibacterial_003,47,100,68,401,0.7273,0.8004,0.855,0.71,0.8268,0.1911
Antibacterial_003,1,146,1,468,0.7614,0.7622,0.9979,0.6937,0.8643,0.035
Antibacterial_003,5,142,11,458,0.7516,0.7633,0.9765,0.6811,0.8569,0.0283
Antibacterial_003,0,147,1,468,0.7597,0.761,0.9979,0.7102,0.8635,-0.0226
Antibacterial_003,3,144,3,466,0.7614,0.7639,0.9936,0.6951,0.8638,0.0608
Antibacterial_003,3,145,2,466,0.7614,0.7627,0.9957,0.6681,0.8638,0.0762
Antibacterial_003,3,145,4,464,0.7581,0.7619,0.9915,0.6865,0.8617,0.0473
Antibacterial_003,19,129,14,454,0.7679,0.7787,0.9701,0.7016,0.8639,0.1868
Antibacterial_003,1,147,1,467,0.7597,0.7606,0.9979,0.6947,0.8632,0.0347
Antibacterial_003,4,144,3,465,0.7614,0.7635,0.9936,0.7105,0.8635,0.0831
Antibacterial_004,16,131,8,461,0.7744,0.7787,0.9829,0.7323,0.869,0.2022
Antibacterial_004,33,114,28,441,0.7695,0.7946,0.9403,0.7236,0.8613,0.2352
Antibacterial_004,26,121,29,440,0.7565,0.7843,0.9382,0.704,0.8544,0.172
Antibacterial_004,5,142,5,464,0.7614,0.7657,0.9893,0.7213,0.8633,0.0788
Antibacterial_004,48,99,52,417,0.7549,0.8081,0.8891,0.7252,0.8467,0.2493
Antibacterial_004,22,126,20,448,0.763,0.7805,0.9573,0.7023,0.8599,0.1795
Antibacterial_004,9,139,14,454,0.7516,0.7656,0.9701,0.689,0.8558,0.0696
Antibacterial_004,27,121,22,446,0.7679,0.7866,0.953,0.745,0.8618,0.2138
Antibacterial_004,5,143,3,465,0.763,0.7648,0.9936,0.7245,0.8643,0.1033
Antibacterial_004,13,135,8,460,0.7679,0.7731,0.9829,0.7425,0.8655,0.1666
Antibacterial_005,29,118,25,444,0.7679,0.79,0.9467,0.7534,0.8613,0.217
Antibacterial_005,11,136,2,467,0.776,0.7745,0.9957,0.7116,0.8713,0.2093
Antibacterial_005,8,139,9,460,0.7597,0.7679,0.9808,0.726,0.8614,0.0917
Antibacterial_005,43,104,34,435,0.776,0.8071,0.9275,0.7322,0.8631,0.2836
Antibacterial_005,19,128,25,444,0.7516,0.7762,0.9467,0.7237,0.853,0.1257
Antibacterial_005,39,109,35,433,0.7662,0.7989,0.9252,0.6982,0.8574,0.248
Antibacterial_005,4,144,3,465,0.7614,0.7635,0.9936,0.7033,0.8635,0.0831
Antibacterial_005,28,120,20,448,0.7727,0.7887,0.9573,0.7358,0.8649,0.2334
Antibacterial_005,8,140,2,466,0.7695,0.769,0.9957,0.7376,0.8678,0.1683
Antibacterial_005,6,142,5,463,0.7614,0.7653,0.9893,0.7491,0.863,0.0963
Antibacterial_006,13,134,4,465,0.776,0.7763,0.9915,0.7686,0.8708,0.2079
Antibacterial_006,26,121,21,448,0.7695,0.7873,0.9552,0.7279,0.8632,0.2121
Antibacterial_006,29,118,25,444,0.7679,0.79,0.9467,0.7381,0.8613,0.217
Antibacterial_006,5,142,4,465,0.763,0.7661,0.9915,0.7314,0.8643,0.0905
Antibacterial_006,11,136,10,459,0.763,0.7714,0.9787,0.7401,0.8628,0.1257
Antibacterial_006,13,135,8,460,0.7679,0.7731,0.9829,0.7218,0.8655,0.1666
