label,tn,fp,fn,tp,acc,pre,recall,auc,f1,mcc
Anticancer_003,534,0,82,0,0.8669,,0.0,0.5826,,
Anticancer_003,534,0,82,0,0.8669,,0.0,0.5693,,
Anticancer_003,534,0,82,0,0.8669,,0.0,0.5622,,
Anticancer_003,534,0,82,0,0.8669,,0.0,0.6115,,
Anticancer_003,535,0,81,0,0.8685,,0.0,0.5901,,
Anticancer_003,535,0,81,0,0.8685,,0.0,0.6284,,
Anticancer_003,535,0,81,0,0.8685,,0.0,0.5992,,
Anticancer_003,535,0,81,0,0.8685,,0.0,0.6062,,
Anticancer_003,535,0,81,0,0.8685,,0.0,0.572,,
Anticancer_003,535,0,81,0,0.8685,,0.0,0.5692,,
Anticancer_004,534,0,82,0,0.8669,,0.0,0.6255,,
Anticancer_004,534,0,82,0,0.8669,,0.0,0.6452,,
Anticancer_004,534,0,82,0,0.8669,,0.0,0.6156,,
Anticancer_004,534,0,82,0,0.8669,,0.0,0.63,,
Anticancer_004,535,0,81,0,0.8685,,0.0,0.626,,
Anticancer_004,535,0,81,0,0.8685,,0.0,0.676,,
Anticancer_004,534,1,81,0,0.8669,0.0,0.0,0.6494,,-0.0157
Anticancer_004,535,0,81,0,0.8685,,0.0,0.645,,
Anticancer_004,535,0,81,0,0.8685,,0.0,0.604,,
Anticancer_004,535,0,81,0,0.8685,,0.0,0.6158,,
Anticancer_005,533,1,81,1,0.8669,0.5,0.0122,0.6134,0.0238,0.0616
Anticancer_005,531,3,79,3,0.8669,0.5,0.0366,0.6396,0.0682,0.1071
Anticancer_005,528,6,79,3,0.862,0.3333,0.0366,0.6087,0.0659,0.0718
Anticancer_005,534,0,82,0,0.8669,,0.0,0.6597,,
Anticancer_005,533,2,81,0,0.8653,0.0,0.0,0.6525,,-0.0222
Anticancer_005,535,0,81,0,0.8685,,0.0,0.695,,
Anticancer_005,533,2,79,2,0.8685,0.5,0.0247,0.6656,0.0471,0.0882
Anticancer_005,535,0,81,0,0.8685,,0.0,0.6403,,
Anticancer_005,535,0,81,0,0.8685,,0.0,0.6147,,
Anticancer_005,535,0,79,2,0.8718,1.0,0.0247,0.6266,0.0482,0.1467
Anticancer_006,534,0,82,0,0.8669,,0.0,0.6507,,
Anticancer_006,533,1,81,1,0.8669,0.5,0.0122,0.6258,0.0238,0.0616
Anticancer_006,532,2,73,9,0.8782,0.8182,0.1098,0.6177,0.1935,0.2719
Anticancer_006,534,0,81,1,0.8685,1.0,0.0122,0.648,0.0241,0.1029
Anticancer_006,530,5,78,3,0.8653,0.375,0.037,0.6752,0.0674,0.0827
Anticancer_006,532,3,78,3,0.8685,0.5,0.037,0.6981,0.069,0.1081
Anticancer_006,535,0,81,0,0.8685,,0.0,0.6783,,
Anticancer_006,531,4,80,1,0.8636,0.2,0.0123,0.6388,0.0233,0.0183
Anticancer_006,535,0,80,1,0.8701,1.0,0.0123,0.6311,0.0244,0.1036
Anticancer_006,532,3,80,1,0.8653,0.25,0.0123,0.626,0.0235,0.0284
Anticancer_007,532,2,80,2,0.8669,0.5,0.0244,0.689,0.0465,0.0873
Anticancer_007,530,4,78,4,0.8669,0.5,0.0488,0.6334,0.0889,0.1239
Anticancer_007,530,4,79,3,0.8653,0.4286,0.0366,0.6009,0.0674,0.0932
Anticancer_007,533,1,79,3,0.8701,0.75,0.0366,0.6662,0.0698,0.1468
Anticancer_007,532,3,77,4,0.8701,0.5714,0.0494,0.6662,0.0909,0.1396
Anticancer_007,533,2,77,4,0.8718,0.6667,0.0494,0.6802,0.092,0.1571
Anticancer_007,533,2,77,4,0.8718,0.6667,0.0494,0.6897,0.092,0.1571
Anticancer_007,534,1,79,2,0.8701,0.6667,0.0247,0.6437,0.0476,0.1108
Anticancer_007,533,2,79,2,0.8685,0.5,0.0247,0.6098,0.0471,0.0882
Anticancer_007,534,1,80,1,0.8685,0.5,0.0123,0.612,0.0241,0.0622
Anticancer_008,525,9,74,8,0.8653,0.4706,0.0976,0.6647,0.1616,0.1674
Anticancer_008,523,11,78,4,0.8555,0.2667,0.0488,0.6652,0.0825,0.0621
Anticancer_008,531,3,75,7,0.8734,0.7,0.0854,0.6191,0.1522,0.2144
Anticancer_008,528,6,75,7,0.8685,0.5385,0.0854,0.6678,0.1474,0.1752
Anticancer_008,532,3,76,5,0.8718,0.625,0.0617,0.6852,0.1124,0.1675
Anticancer_008,535,0,78,3,0.8734,1.0,0.037,0.706,0.0714,0.1798
Anticancer_008,534,1,77,4,0.8734,0.8,0.0494,0.6884,0.093,0.1789
Anticancer_008,528,7,73,8,0.8701,0.5333,0.0988,0.6524,0.1667,0.1879
Anticancer_008,533,2,80,1,0.8669,0.3333,0.0123,0.6577,0.0238,0.0418
Anticancer_008,534,1,79,2,0.8701,0.6667,0.0247,0.6136,0.0476,0.1108
Anticancer_009,530,4,78,4,0.8669,0.5,0.0488,0.6659,0.0889,0.1239
Anticancer_009,529,5,79,3,0.8636,0.375,0.0366,0.6768,0.0667,0.0817
Anticancer_009,532,2,79,3,0.8685,0.6,0.0366,0.5907,0.069,0.1243
Anticancer_009,532,2,76,6,0.8734,0.75,0.0732,0.6648,0.1333,0.2083
Anticancer_009,534,1,78,3,0.8718,0.75,0.037,0.6464,0.0706,0.148
Anticancer_009,535,0,78,3,0.8734,1.0,0.037,0.6893,0.0714,0.1798
Anticancer_009,534,1,80,1,0.8685,0.5,0.0123,0.6663,0.0241,0.0622
Anticancer_009,532,3,76,5,0.8718,0.625,0.0617,0.6684,0.1124,0.1675
Anticancer_009,533,2,80,1,0.8669,0.3333,0.0123,0.6666,0.0238,0.0418
Anticancer_009,534,1,79,2,0.8701,0.6667,0.0247,0.6209,0.0476,0.1108
Anticancer_010,528,6,75,7,0.8685,0.5385,0.0854,0.6895,0.1474,0.1752
Anticancer_010,528,6,79,3,0.862,0.3333,0.0366,0.6601,0.0659,0.0718
Anticancer_010,530,4,73,9,0.875,0.6923,0.1098,0.644,0.1895,0.2417
Anticancer_010,531,3,78,4,0.8685,0.5714,0.0488,0.6959,0.0899,0.1383
Anticancer_010,529,6,75,6,0.8685,0.5,0.0741,0.6691,0.129,0.1537
Anticancer_010,528,7,74,7,0.8685,0.5,0.0864,0.667,0.1474,0.1663
Anticancer_010,533,2,79,2,0.8685,0.5,0.0247,0.6714,0.0471,0.0882
Anticancer_010,533,2,77,4,0.8718,0.6667,0.0494,0.667,0.092,0.1571
Anticancer_010,533,2,80,1,0.8669,0.3333,0.0123,0.6337,0.0238,0.0418
Anticancer_010,531,4,76,5,0.8701,0.5556,0.0617,0.6256,0.1111,0.1528
Anticancer_011,527,7,74,8,0.8685,0.5333,0.0976,0.6813,0.1649,0.1861
Anticancer_011,521,13,75,7,0.8571,0.35,0.0854,0.6511,0.1373,0.117
Anticancer_011,531,3,74,8,0.875,0.7273,0.0976,0.631,0.172,0.2358
Anticancer_011,528,6,78,4,0.8636,0.4,0.0488,0.6872,0.087,0.1009
Anticancer_011,532,3,74,7,0.875,0.7,0.0864,0.6658,0.1538,0.2161
Anticancer_011,533,2,75,6,0.875,0.75,0.0741,0.6965,0.1348,0.2099
Anticancer_011,531,4,78,3,0.8669,0.4286,0.037,0.6622,0.0682,0.0942
Anticancer_011,532,3,77,4,0.8701,0.5714,0.0494,0.6668,0.0909,0.1396
Anticancer_011,532,3,79,2,0.8669,0.4,0.0247,0.64,0.0465,0.0719
Anticancer_011,532,3,73,8,0.8766,0.7273,0.0988,0.6277,0.1739,0.2377
Anticancer_012,523,11,72,10,0.8653,0.4762,0.122,0.648,0.1942,0.1897
Anticancer_012,525,9,75,7,0.8636,0.4375,0.0854,0.6571,0.1429,0.1463
Anticancer_012,531,3,76,6,0.8718,0.6667,0.0732,0.6238,0.1319,0.1913
Anticancer_012,528,6,76,6,0.8669,0.5,0.0732,0.6622,0.1277,0.1522
Anticancer_012,533,2,76,5,0.8734,0.7143,0.0617,0.6563,0.1136,0.1849
Anticancer_012,532,3,76,5,0.8718,0.625,0.0617,0.6952,0.1124,0.1675
Anticancer_012,529,6,80,1,0.8604,0.1429,0.0123,0.6876,0.0227,0.0036
Anticancer_012,531,4,73,8,0.875,0.6667,0.0988,0.6565,0.172,0.2232
Anticancer_012,531,4,81,0,0.862,0.0,0.0,0.6403,,-0.0315
Anticancer_012,534,1,79,2,0.8701,0.6667,0.0247,0.6177,0.0476,0.1108
Anticancer_013,526,8,76,6,0.8636,0.4286,0.0732,0.6591,0.125,0.1326
Anticancer_013,528,6,78,4,0.8636,0.4,0.0488,0.6488,0.087,0.1009
Anticancer_013,523,11,73,9,0.8636,0.45,0.1098,0.6178,0.1765,0.1709
Anticancer_013,531,3,79,3,0.8669,0.5,0.0366,0.7076,0.0682,0.1071
Anticancer_013,531,4,73,8,0.875,0.6667,0.0988,0.6694,0.172,0.2232
Anticancer_013,531,4,76,5,0.8701,0.5556,0.0617,0.6987,0.1111,0.1528
Anticancer_013,529,6,76,5,0.8669,0.4545,0.0617,0.6922,0.1087,0.1289
Anticancer_013,532,3,74,7,0.875,0.7,0.0864,0.7048,0.1538,0.2161
Anticancer_013,533,2,81,0,0.8653,0.0,0.0,0.6417,,-0.0222
Anticancer_013,532,3,76,5,0.8718,0.625,0.0617,0.6351,0.1124,0.1675
Anticancer_014,527,7,75,7,0.8669,0.5,0.0854,0.6746,0.1458,0.1647
Anticancer_014,526,8,76,6,0.8636,0.4286,0.0732,0.6427,0.125,0.1326
Anticancer_014,531,3,75,7,0.8734,0.7,0.0854,0.6188,0.1522,0.2144
Anticancer_014,532,2,80,2,0.8669,0.5,0.0244,0.6988,0.0465,0.0873
Anticancer_014,530,5,71,10,0.8766,0.6667,0.1235,0.6548,0.2083,0.2502
Anticancer_014,532,3,73,8,0.8766,0.7273,0.0988,0.6944,0.1739,0.2377
Anticancer_014,530,5,73,8,0.8734,0.6154,0.0988,0.6641,0.1702,0.2102
Anticancer_014,532,3,75,6,0.8734,0.6667,0.0741,0.6741,0.1333,0.1928
Anticancer_014,532,3,81,0,0.8636,0.0,0.0,0.6539,,-0.0272
Anticancer_014,532,3,72,9,0.8782,0.75,0.1111,0.6722,0.1935,0.258
Anticancer_015,530,4,76,6,0.8701,0.6,0.0732,0.674,0.1304,0.1766
Anticancer_015,522,12,67,15,0.8718,0.5556,0.1829,0.6936,0.2752,0.2663
Anticancer_015,520,14,74,8,0.8571,0.3636,0.0976,0.6192,0.1538,0.1306
