label,tn,fp,fn,tp,acc,pre,recall,auc,f1,mcc
Antifungal_003,416,0,200,0,0.6753,,0.0,0.6071,,
Antifungal_003,416,0,200,0,0.6753,,0.0,0.6161,,
Antifungal_003,415,1,200,0,0.6737,0.0,0.0,0.634,,-0.028
Antifungal_003,415,0,201,0,0.6737,,0.0,0.6077,,
Antifungal_003,415,0,201,0,0.6737,,0.0,0.6074,,
Antifungal_003,410,5,193,8,0.6786,0.6154,0.0398,0.6052,0.0748,0.0905
Antifungal_003,415,0,201,0,0.6737,,0.0,0.5944,,
Antifungal_003,415,0,201,0,0.6737,,0.0,0.5686,,
Antifungal_003,415,0,201,0,0.6737,,0.0,0.6316,,
Antifungal_003,415,0,201,0,0.6737,,0.0,0.5745,,
Antifungal_004,364,52,162,38,0.6526,0.4222,0.19,0.5959,0.2621,0.0862
Antifungal_004,403,13,193,7,0.6656,0.35,0.035,0.6168,0.0636,0.0099
Antifungal_004,416,0,200,0,0.6753,,0.0,0.6319,,
Antifungal_004,415,0,201,0,0.6737,,0.0,0.6035,,
Antifungal_004,415,0,201,0,0.6737,,0.0,0.612,,
Antifungal_004,337,78,149,52,0.6315,0.4,0.2587,0.5997,0.3142,0.0813
Antifungal_004,415,0,201,0,0.6737,,0.0,0.5758,,
Antifungal_004,408,7,194,7,0.6737,0.5,0.0348,0.5666,0.0651,0.0565
Antifungal_004,413,2,201,0,0.6705,0.0,0.0,0.6153,,-0.0397
Antifungal_004,404,11,193,8,0.6688,0.4211,0.0398,0.5846,0.0727,0.0361
Antifungal_005,412,4,197,3,0.6737,0.4286,0.015,0.5987,0.029,0.0238
Antifungal_005,415,1,200,0,0.6737,0.0,0.0,0.6396,,-0.028
Antifungal_005,416,0,200,0,0.6753,,0.0,0.6252,,
Antifungal_005,411,4,199,2,0.6705,0.3333,0.01,0.5933,0.0193,0.0015
Antifungal_005,415,0,201,0,0.6737,,0.0,0.6018,,
Antifungal_005,401,14,194,7,0.6623,0.3333,0.0348,0.6023,0.0631,0.0028
Antifungal_005,415,0,201,0,0.6737,,0.0,0.5719,,
Antifungal_005,412,3,200,1,0.6705,0.25,0.005,0.5622,0.0098,-0.0132
Antifungal_005,368,47,159,42,0.6656,0.4719,0.209,0.6182,0.2897,0.1276
Antifungal_005,415,0,201,0,0.6737,,0.0,0.5785,,
Antifungal_006,413,3,196,4,0.6769,0.5714,0.02,0.6099,0.0386,0.0565
Antifungal_006,408,8,196,4,0.6688,0.3333,0.02,0.6434,0.0377,0.0026
Antifungal_006,416,0,200,0,0.6753,,0.0,0.6343,,
Antifungal_006,407,8,191,10,0.6769,0.5556,0.0498,0.5941,0.0913,0.0848
Antifungal_006,415,0,200,1,0.6753,1.0,0.005,0.6167,0.0099,0.0579
Antifungal_006,402,13,192,9,0.6672,0.4091,0.0448,0.6264,0.0807,0.034
Antifungal_006,333,82,148,53,0.6266,0.3926,0.2637,0.5798,0.3155,0.0749
Antifungal_006,415,0,200,1,0.6753,1.0,0.005,0.5542,0.0099,0.0579
Antifungal_006,410,5,201,0,0.6656,0.0,0.0,0.6006,,-0.063
Antifungal_006,409,6,199,2,0.6672,0.25,0.01,0.5695,0.0191,-0.0187
Antifungal_007,376,40,155,45,0.6834,0.5294,0.225,0.63,0.3158,0.1749
Antifungal_007,405,11,190,10,0.6737,0.4762,0.05,0.6518,0.0905,0.0608
Antifungal_007,416,0,200,0,0.6753,,0.0,0.6816,,
Antifungal_007,412,3,200,1,0.6705,0.25,0.005,0.6119,0.0098,-0.0132
Antifungal_007,413,2,201,0,0.6705,0.0,0.0,0.6192,,-0.0397
Antifungal_007,380,35,170,31,0.6672,0.4697,0.1542,0.6464,0.2322,0.1059
Antifungal_007,412,3,193,8,0.6818,0.7273,0.0398,0.6059,0.0755,0.1153
Antifungal_007,395,20,194,7,0.6526,0.2593,0.0348,0.585,0.0614,-0.0306
Antifungal_007,410,5,197,4,0.6721,0.4444,0.0199,0.6111,0.0381,0.0307
Antifungal_007,316,99,122,79,0.6412,0.4438,0.393,0.5821,0.4169,0.1598
Antifungal_008,367,49,143,57,0.6883,0.5377,0.285,0.6313,0.3725,0.2074
Antifungal_008,409,7,188,12,0.6834,0.6316,0.06,0.6664,0.1096,0.1169
Antifungal_008,414,2,200,0,0.6721,0.0,0.0,0.6745,,-0.0396
Antifungal_008,359,56,159,42,0.651,0.4286,0.209,0.6259,0.2809,0.0949
Antifungal_008,409,6,199,2,0.6672,0.25,0.01,0.6256,0.0191,-0.0187
Antifungal_008,391,24,173,28,0.6802,0.5385,0.1393,0.6412,0.2213,0.1374
Antifungal_008,393,22,182,19,0.6688,0.4634,0.0945,0.6118,0.157,0.0781
Antifungal_008,371,44,171,30,0.651,0.4054,0.1493,0.5881,0.2182,0.0623
Antifungal_008,410,5,197,4,0.6721,0.4444,0.0199,0.621,0.0381,0.0307
Antifungal_008,389,26,185,16,0.6575,0.381,0.0796,0.5889,0.1317,0.0315
Antifungal_009,363,53,145,55,0.6786,0.5093,0.275,0.6243,0.3571,0.1818
Antifungal_009,396,20,181,19,0.6737,0.4872,0.095,0.682,0.159,0.0902
Antifungal_009,414,2,199,1,0.6737,0.3333,0.005,0.6848,0.0099,0.0013
Antifungal_009,386,29,184,17,0.6542,0.3696,0.0846,0.6356,0.1377,0.0262
Antifungal_009,409,6,183,18,0.6932,0.75,0.0896,0.6356,0.16,0.182
Antifungal_009,386,29,168,33,0.6802,0.5323,0.1642,0.6628,0.251,0.147
Antifungal_009,360,55,158,43,0.6542,0.4388,0.2139,0.6066,0.2876,0.1043
Antifungal_009,407,8,188,13,0.6818,0.619,0.0647,0.5941,0.1171,0.1173
Antifungal_009,384,31,172,29,0.6705,0.4833,0.1443,0.6319,0.2222,0.11
Antifungal_009,380,35,163,38,0.6786,0.5205,0.1891,0.6197,0.2774,0.1519
Antifungal_010,367,49,156,44,0.6672,0.4731,0.22,0.6175,0.3003,0.1337
Antifungal_010,397,19,168,32,0.6964,0.6275,0.16,0.6763,0.255,0.1943
Antifungal_010,407,9,196,4,0.6672,0.3077,0.02,0.6572,0.0376,-0.0053
Antifungal_010,409,6,198,3,0.6688,0.3333,0.0149,0.6466,0.0286,0.0018
Antifungal_010,374,41,171,30,0.6558,0.4225,0.1493,0.634,0.2206,0.0741
Antifungal_010,408,7,191,10,0.6786,0.5882,0.0498,0.6389,0.0917,0.0941
Antifungal_010,340,75,149,52,0.6364,0.4094,0.2587,0.5997,0.3171,0.0904
Antifungal_010,395,20,181,20,0.6737,0.5,0.0995,0.5749,0.166,0.0976
Antifungal_010,339,76,147,54,0.638,0.4154,0.2687,0.6142,0.3263,0.0983
Antifungal_010,342,73,144,57,0.6477,0.4385,0.2836,0.6178,0.3444,0.1237
Antifungal_011,349,67,147,53,0.6526,0.4417,0.265,0.6111,0.3312,0.1229
Antifungal_011,407,9,190,10,0.6769,0.5263,0.05,0.6852,0.0913,0.0768
