label,tn,fp,fn,tp,acc,pre,recall,auc,f1,mcc
Antiviral_003,507,12,86,11,0.8409,0.4783,0.1134,0.6799,0.1833,0.1734
Antiviral_003,508,11,74,23,0.862,0.6765,0.2371,0.7102,0.3511,0.3444
Antiviral_003,503,16,84,13,0.8377,0.4483,0.134,0.6689,0.2063,0.1775
Antiviral_003,511,7,85,13,0.8506,0.65,0.1327,0.6994,0.2203,0.2459
Antiviral_003,513,5,88,10,0.849,0.6667,0.102,0.6697,0.177,0.2192
Antiviral_003,506,12,80,18,0.8506,0.6,0.1837,0.7272,0.2812,0.2727
Antiviral_003,495,23,83,15,0.8279,0.3947,0.1531,0.6916,0.2206,0.1652
Antiviral_003,513,5,91,7,0.8442,0.5833,0.0714,0.7101,0.1273,0.1635
Antiviral_003,505,13,80,18,0.849,0.5806,0.1837,0.677,0.2791,0.2653
Antiviral_003,504,14,83,15,0.8425,0.5172,0.1531,0.6699,0.2362,0.2176
Antiviral_004,509,10,86,11,0.8442,0.5238,0.1134,0.7287,0.1864,0.189
Antiviral_004,507,12,74,23,0.8604,0.6571,0.2371,0.778,0.3485,0.3367
Antiviral_004,506,13,88,9,0.836,0.4091,0.0928,0.7142,0.1513,0.1329
Antiviral_004,514,4,85,13,0.8555,0.7647,0.1327,0.7664,0.2261,0.2789
Antiviral_004,507,11,81,17,0.8506,0.6071,0.1735,0.7468,0.2698,0.2673
Antiviral_004,506,12,84,14,0.8442,0.5385,0.1429,0.7762,0.2258,0.2177
Antiviral_004,500,18,81,17,0.8393,0.4857,0.1735,0.707,0.2556,0.2192
Antiviral_004,510,8,76,22,0.8636,0.7333,0.2245,0.7598,0.3438,0.3552
Antiviral_004,509,9,83,15,0.8506,0.625,0.1531,0.7387,0.2459,0.2565
Antiviral_004,510,8,82,16,0.8539,0.6667,0.1633,0.7467,0.2623,0.2794
Antiviral_005,506,13,86,11,0.8393,0.4583,0.1134,0.745,0.1818,0.1663
Antiviral_005,513,6,79,18,0.862,0.75,0.1856,0.7784,0.2975,0.3275
Antiviral_005,506,13,86,11,0.8393,0.4583,0.1134,0.7193,0.1818,0.1663
Antiviral_005,511,7,88,10,0.8458,0.5882,0.102,0.7741,0.1739,0.1977
Antiviral_005,509,9,83,15,0.8506,0.625,0.1531,0.735,0.2459,0.2565
Antiviral_005,506,12,77,21,0.8555,0.6364,0.2143,0.7779,0.3206,0.3105
Antiviral_005,505,13,86,12,0.8393,0.48,0.1224,0.7057,0.1951,0.1805
Antiviral_005,510,8,77,21,0.862,0.7241,0.2143,0.7678,0.3307,0.3434
Antiviral_005,507,11,85,13,0.8442,0.5417,0.1327,0.711,0.2131,0.2106
Antiviral_005,507,11,79,19,0.8539,0.6333,0.1939,0.7422,0.2969,0.2934
Antiviral_006,509,10,82,15,0.8506,0.6,0.1546,0.7218,0.2459,0.2499
Antiviral_006,513,6,78,19,0.8636,0.76,0.1959,0.7725,0.3115,0.3402
Antiviral_006,507,12,82,15,0.8474,0.5556,0.1546,0.7164,0.2419,0.234
Antiviral_006,513,5,85,13,0.8539,0.7222,0.1327,0.7556,0.2241,0.2671
Antiviral_006,509,9,85,13,0.8474,0.5909,0.1327,0.7375,0.2167,0.2272
Antiviral_006,505,13,77,21,0.8539,0.6176,0.2143,0.7861,0.3182,0.303
Antiviral_006,498,20,83,15,0.8328,0.4286,0.1531,0.7082,0.2256,0.1808
Antiviral_006,513,5,78,20,0.8653,0.8,0.2041,0.7711,0.3252,0.3604
Antiviral_006,506,12,81,17,0.849,0.5862,0.1735,0.7218,0.2677,0.2596
Antiviral_006,507,11,81,17,0.8506,0.6071,0.1735,0.7533,0.2698,0.2673
Antiviral_007,509,10,80,17,0.8539,0.6296,0.1753,0.7311,0.2742,0.2775
Antiviral_007,514,5,78,19,0.8653,0.7917,0.1959,0.7751,0.314,0.3506
Antiviral_007,504,15,82,15,0.8425,0.5,0.1546,0.754,0.2362,0.2128
Antiviral_007,512,6,81,17,0.8588,0.7391,0.1735,0.7725,0.281,0.3123
Antiviral_007,500,18,79,19,0.8425,0.5135,0.1939,0.733,0.2815,0.245
Antiviral_007,504,14,70,28,0.8636,0.6667,0.2857,0.7849,0.4,0.3754
Antiviral_007,501,17,83,15,0.8377,0.4688,0.1531,0.7431,0.2308,0.1982
Antiviral_007,511,7,77,21,0.8636,0.75,0.2143,0.7818,0.3333,0.3525
Antiviral_007,502,16,82,16,0.8409,0.5,0.1633,0.7233,0.2462,0.2182
Antiviral_007,508,10,82,16,0.8506,0.6154,0.1633,0.767,0.2581,0.2619
Antiviral_008,509,10,80,17,0.8539,0.6296,0.1753,0.713,0.2742,0.2775
Antiviral_008,511,8,69,28,0.875,0.7778,0.2887,0.7592,0.4211,0.4243
Antiviral_008,507,12,82,15,0.8474,0.5556,0.1546,0.7428,0.2419,0.234
Antiviral_008,508,10,82,16,0.8506,0.6154,0.1633,0.7765,0.2581,0.2619
Antiviral_008,502,16,82,16,0.8409,0.5,0.1633,0.7419,0.2462,0.2182
Antiviral_008,509,9,79,19,0.8571,0.6786,0.1939,0.7897,0.3016,0.3099
Antiviral_008,500,18,80,18,0.8409,0.5,0.1837,0.7429,0.2687,0.2322
Antiviral_008,508,10,71,27,0.8685,0.7297,0.2755,0.7779,0.4,0.3944
Antiviral_008,503,15,81,17,0.8442,0.5312,0.1735,0.7411,0.2615,0.2382
Antiviral_008,506,12,80,18,0.8506,0.6,0.1837,0.7608,0.2812,0.2727
Antiviral_009,505,14,77,20,0.8523,0.5882,0.2062,0.7308,0.3053,0.2858
Antiviral_009,508,11,71,26,0.8669,0.7027,0.268,0.7809,0.3881,0.3784
Antiviral_009,509,10,81,16,0.8523,0.6154,0.1649,0.7401,0.2602,0.2639
Antiviral_009,508,10,80,18,0.8539,0.6429,0.1837,0.7723,0.2857,0.2886
Antiviral_009,505,13,81,17,0.8474,0.5667,0.1735,0.7496,0.2656,0.2521
Antiviral_009,504,14,75,23,0.8555,0.6216,0.2347,0.7887,0.3407,0.3197
Antiviral_009,495,23,79,19,0.8344,0.4524,0.1939,0.737,0.2714,0.2169
Antiviral_009,507,11,73,25,0.8636,0.6944,0.2551,0.7641,0.3731,0.3647
Antiviral_009,512,6,82,16,0.8571,0.7273,0.1633,0.7369,0.2667,0.299
Antiviral_009,504,14,81,17,0.8458,0.5484,0.1735,0.7765,0.2636,0.245
Antiviral_010,504,15,77,20,0.8506,0.5714,0.2062,0.7364,0.303,0.2789
Antiviral_010,514,5,76,21,0.8685,0.8077,0.2165,0.7901,0.3415,0.3747
Antiviral_010,506,13,75,22,0.8571,0.6286,0.2268,0.739,0.3333,0.3174
Antiviral_010,511,7,80,18,0.8588,0.72,0.1837,0.7863,0.2927,0.3154
Antiviral_010,505,13,76,22,0.8555,0.6286,0.2245,0.7568,0.3308,0.315
Antiviral_010,504,14,67,31,0.8685,0.6889,0.3163,0.783,0.4336,0.4066
Antiviral_010,499,19,76,22,0.8458,0.5366,0.2245,0.763,0.3165,0.2756
Antiviral_010,508,10,72,26,0.8669,0.7222,0.2653,0.761,0.3881,0.3836
Antiviral_010,506,12,83,15,0.8458,0.5556,0.1531,0.7268,0.24,0.2321
Antiviral_010,503,15,81,17,0.8442,0.5312,0.1735,0.7734,0.2615,0.2382
Antiviral_011,505,14,75,22,0.8555,0.6111,0.2268,0.7635,0.3308,0.3103
Antiviral_011,509,10,74,23,0.8636,0.697,0.2371,0.7787,0.3538,0.3524
Antiviral_011,507,12,80,17,0.8506,0.5862,0.1753,0.7618,0.2698,0.2616
Antiviral_011,508,10,76,22,0.8604,0.6875,0.2245,0.7833,0.3385,0.3382
Antiviral_011,506,12,78,20,0.8539,0.625,0.2041,0.7699,0.3077,0.2982
Antiviral_011,499,19,62,36,0.8685,0.6545,0.3673,0.7849,0.4706,0.4241
Antiviral_011,493,25,78,20,0.8328,0.4444,0.2041,0.7525,0.2797,0.219
Antiviral_011,506,12,71,27,0.8653,0.6923,0.2755,0.7672,0.3942,0.379
Antiviral_011,506,12,80,18,0.8506,0.6,0.1837,0.7287,0.2812,0.2727
Antiviral_011,499,19,76,22,0.8458,0.5366,0.2245,0.7829,0.3165,0.2756
Antiviral_012,509,10,79,18,0.8555,0.6429,0.1856,0.7754,0.288,0.2908
Antiviral_012,513,6,80,17,0.8604,0.7391,0.1753,0.7868,0.2833,0.3145
Antiviral_012,507,12,85,12,0.8425,0.5,0.1237,0.7634,0.1983,0.1893
Antiviral_012,509,9,81,17,0.8539,0.6538,0.1735,0.8014,0.2742,0.284
Antiviral_012,502,16,78,20,0.8474,0.5556,0.2041,0.7929,0.2985,0.2701
Antiviral_012,506,12,72,26,0.8636,0.6842,0.2653,0.8046,0.3824,0.3681
Antiviral_012,492,26,76,22,0.8344,0.4583,0.2245,0.7394,0.3014,0.2378
Antiviral_012,513,5,73,25,0.8734,0.8333,0.2551,0.7711,0.3906,0.4171
Antiviral_012,505,13,79,19,0.8506,0.5938,0.1939,0.7356,0.2923,0.2782
Antiviral_012,501,17,81,17,0.8409,0.5,0.1735,0.7815,0.2576,0.2253
Antiviral_013,506,13,76,21,0.8555,0.6176,0.2165,0.7567,0.3206,0.3054
Antiviral_013,500,19,67,30,0.8604,0.6122,0.3093,0.7841,0.411,0.367
Antiviral_013,504,15,82,15,0.8425,0.5,0.1546,0.7536,0.2362,0.2128
Antiviral_013,506,12,80,18,0.8506,0.6,0.1837,0.7936,0.2812,0.2727
Antiviral_013,499,19,74,24,0.849,0.5581,0.2449,0.787,0.3404,0.2989
Antiviral_013,500,18,67,31,0.862,0.6327,0.3163,0.7943,0.4218,0.3806
Antiviral_013,500,18,78,20,0.8442,0.5263,0.2041,0.7478,0.2941,0.2574
Antiviral_013,508,10,74,24,0.8636,0.7059,0.2449,0.772,0.3636,0.3613
Antiviral_013,502,16,79,19,0.8458,0.5429,0.1939,0.731,0.2857,0.2575
Antiviral_013,502,16,82,16,0.8409,0.5,0.1633,0.7877,0.2462,0.2182
Antiviral_014,504,15,78,19,0.849,0.5588,0.1959,0.7554,0.2901,0.2663
Antiviral_014,512,7,76,21,0.8653,0.75,0.2165,0.7604,0.336,0.355
Antiviral_014,508,11,81,16,0.8506,0.5926,0.1649,0.7668,0.2581,0.2558
Antiviral_014,509,9,78,20,0.8588,0.6897,0.2041,0.7941,0.315,0.3224
Antiviral_014,506,12,79,19,0.8523,0.6129,0.1939,0.7714,0.2946,0.2856
Antiviral_014,502,16,68,30,0.8636,0.6522,0.3061,0.7958,0.4167,0.383
Antiviral_014,492,26,75,23,0.836,0.4694,0.2347,0.7492,0.3129,0.2494
Antiviral_014,509,9,72,26,0.8685,0.7429,0.2653,0.7763,0.391,0.3917
Antiviral_014,511,7,82,16,0.8555,0.6957,0.1633,0.7395,0.2645,0.2889
Antiviral_014,499,19,77,21,0.8442,0.525,0.2143,0.7752,0.3043,0.2636
Antiviral_015,510,9,82,15,0.8523,0.625,0.1546,0.761,0.2479,0.2584
Antiviral_015,501,18,72,25,0.8539,0.5814,0.2577,0.7638,0.3571,0.3188
Antiviral_015,505,14,83,14,0.8425,0.5,0.1443,0.7648,0.224,0.2052
Antiviral_015,505,13,78,20,0.8523,0.6061,0.2041,0.7852,0.3053,0.2907
Antiviral_015,503,15,76,22,0.8523,0.5946,0.2245,0.7915,0.3259,0.301
Antiviral_015,480,38,55,43,0.849,0.5309,0.4388,0.8253,0.4804,0.3955
Antiviral_015,488,30,72,26,0.8344,0.4643,0.2653,0.7593,0.3377,0.2639
Antiviral_015,506,12,73,25,0.862,0.6757,0.2551,0.7781,0.3704,0.357
Antiviral_015,503,15,73,25,0.8571,0.625,0.2551,0.7306,0.3623,0.3357
Antiviral_015,503,15,77,21,0.8506,0.5833,0.2143,0.7851,0.3134,0.289
Antiviral_016,501,18,70,27,0.8571,0.6,0.2784,0.7767,0.3803,0.3411
Antiviral_016,501,18,68,29,0.8604,0.617,0.299,0.7909,0.4028,0.3626
Antiviral_016,498,21,73,24,0.8474,0.5333,0.2474,0.7764,0.338,0.2897
Antiviral_016,510,8,80,18,0.8571,0.6923,0.1837,0.8132,0.2903,0.306
Antiviral_016,504,14,79,19,0.849,0.5758,0.1939,0.7945,0.2901,0.271
Antiviral_016,499,19,70,28,0.8555,0.5957,0.2857,0.8152,0.3862,0.3431
Antiviral_016,485,33,70,28,0.8328,0.459,0.2857,0.7496,0.3522,0.2719
Antiviral_016,509,9,75,23,0.8636,0.7188,0.2347,0.7928,0.3538,0.3582
Antiviral_016,509,9,76,22,0.862,0.7097,0.2245,0.7581,0.3411,0.3465
Antiviral_016,509,9,82,16,0.8523,0.64,0.1633,0.7953,0.2602,0.2704
Antiviral_017,502,17,71,26,0.8571,0.6047,0.268,0.7897,0.3714,0.3363
Antiviral_017,496,23,58,39,0.8685,0.629,0.4021,0.7985,0.4906,0.4331
Antiviral_017,504,15,77,20,0.8506,0.5714,0.2062,0.7689,0.303,0.2789
Antiviral_017,506,12,75,23,0.8588,0.6571,0.2347,0.8098,0.3459,0.3342
Antiviral_017,500,18,70,28,0.8571,0.6087,0.2857,0.7914,0.3889,0.3492
Antiviral_017,495,23,74,24,0.8425,0.5106,0.2449,0.7971,0.331,0.2762
Antiviral_017,500,18,73,25,0.8523,0.5814,0.2551,0.7653,0.3546,0.3163
Antiviral_017,508,10,74,24,0.8636,0.7059,0.2449,0.789,0.3636,0.3613
Antiviral_017,509,9,79,19,0.8571,0.6786,0.1939,0.7533,0.3016,0.3099
Antiviral_017,506,12,77,21,0.8555,0.6364,0.2143,0.8052,0.3206,0.3105
Antiviral_018,502,17,69,28,0.8604,0.6222,0.2887,0.7857,0.3944,0.3582
Antiviral_018,509,10,67,30,0.875,0.75,0.3093,0.7761,0.438,0.4287
Antiviral_018,495,24,69,28,0.849,0.5385,0.2887,0.7792,0.3758,0.3176
Antiviral_018,506,12,75,23,0.8588,0.6571,0.2347,0.8024,0.3459,0.3342
Antiviral_018,499,19,65,33,0.8636,0.6346,0.3367,0.7978,0.44,0.3948
Antiviral_018,505,13,74,24,0.8588,0.6486,0.2449,0.8212,0.3556,0.3384
Antiviral_018,485,33,59,39,0.8506,0.5417,0.398,0.7648,0.4588,0.3805
Antiviral_018,506,12,65,33,0.875,0.7333,0.3367,0.8111,0.4615,0.4407
Antiviral_018,502,16,70,28,0.8604,0.6364,0.2857,0.7364,0.3944,0.3619
Antiviral_018,499,19,74,24,0.849,0.5581,0.2449,0.7939,0.3404,0.2989
Antiviral_019,505,14,72,25,0.8604,0.641,0.2577,0.7932,0.3676,0.3451
Antiviral_019,506,13,74,23,0.8588,0.6389,0.2371,0.8031,0.3459,0.3293
Antiviral_019,496,23,69,28,0.8506,0.549,0.2887,0.7898,0.3784,0.323
Antiviral_019,509,9,77,21,0.8604,0.7,0.2143,0.8181,0.3281,0.3346
Antiviral_019,502,16,71,27,0.8588,0.6279,0.2755,0.7785,0.383,0.3511
Antiviral_019,483,35,58,40,0.849,0.5333,0.4082,0.8027,0.4624,0.381
Antiviral_019,492,26,61,37,0.8588,0.5873,0.3776,0.7678,0.4596,0.3952
Antiviral_019,508,10,71,27,0.8685,0.7297,0.2755,0.793,0.4,0.3944
Antiviral_019,504,14,77,21,0.8523,0.6,0.2143,0.762,0.3158,0.2959
Antiviral_019,503,15,73,25,0.8571,0.625,0.2551,0.8065,0.3623,0.3357
Antiviral_020,502,17,75,22,0.8506,0.5641,0.2268,0.8037,0.3235,0.2902
Antiviral_020,494,25,59,38,0.8636,0.6032,0.3918,0.8105,0.475,0.413
Antiviral_020,497,22,71,26,0.849,0.5417,0.268,0.7711,0.3586,0.3066
Antiviral_020,510,8,76,22,0.8636,0.7333,0.2245,0.8281,0.3438,0.3552
Antiviral_020,501,17,70,28,0.8588,0.6222,0.2857,0.7835,0.3916,0.3555
Antiviral_020,507,11,69,29,0.8701,0.725,0.2959,0.8052,0.4203,0.4077
Antiviral_020,486,32,58,40,0.8539,0.5556,0.4082,0.7674,0.4706,0.3943
Antiviral_020,504,14,68,30,0.8669,0.6818,0.3061,0.8006,0.4225,0.3964
Antiviral_020,502,16,75,23,0.8523,0.5897,0.2347,0.7613,0.3358,0.3061
Antiviral_020,501,17,75,23,0.8506,0.575,0.2347,0.8088,0.3333,0.2997
Antiviral_021,501,18,69,28,0.8588,0.6087,0.2887,0.7933,0.3916,0.3519
Antiviral_021,508,11,66,31,0.875,0.7381,0.3196,0.8238,0.446,0.4312
Antiviral_021,506,13,80,17,0.849,0.5667,0.1753,0.7872,0.2677,0.2542
Antiviral_021,506,12,71,27,0.8653,0.6923,0.2755,0.8241,0.3942,0.379
Antiviral_021,504,14,72,26,0.8604,0.65,0.2653,0.7968,0.3768,0.3537
Antiviral_021,507,11,72,26,0.8653,0.7027,0.2653,0.8125,0.3852,0.3757
Antiviral_021,492,26,60,38,0.8604,0.5938,0.3878,0.7766,0.4691,0.4046
Antiviral_021,506,12,65,33,0.875,0.7333,0.3367,0.8107,0.4615,0.4407
Antiviral_021,504,14,71,27,0.862,0.6585,0.2755,0.7685,0.3885,0.3646
Antiviral_021,501,17,67,31,0.8636,0.6458,0.3163,0.8204,0.4247,0.3869
Antiviral_022,494,25,70,27,0.8458,0.5192,0.2784,0.7692,0.3624,0.3016
Antiviral_022,501,18,65,32,0.8653,0.64,0.3299,0.807,0.4354,0.3937
Antiviral_022,498,21,68,29,0.8555,0.58,0.299,0.7931,0.3946,0.3448
Antiviral_022,500,18,71,27,0.8555,0.6,0.2755,0.8059,0.3776,0.3384
Antiviral_022,503,15,74,24,0.8555,0.6154,0.2449,0.7992,0.3504,0.3243
Antiviral_022,481,37,70,28,0.8263,0.4308,0.2857,0.7958,0.3436,0.2551
Antiviral_022,503,15,77,21,0.8506,0.5833,0.2143,0.7498,0.3134,0.289
Antiviral_022,513,5,69,29,0.8799,0.8529,0.2959,0.8047,0.4394,0.4585
Antiviral_022,500,18,72,26,0.8539,0.5909,0.2653,0.7541,0.3662,0.3274
Antiviral_022,498,20,66,32,0.8604,0.6154,0.3265,0.8195,0.4267,0.3788
Antiviral_023,499,20,69,28,0.8555,0.5833,0.2887,0.797,0.3862,0.3399
Antiviral_023,509,10,64,33,0.8799,0.7674,0.3402,0.8111,0.4714,0.4588
Antiviral_023,504,15,79,18,0.8474,0.5455,0.1856,0.7841,0.2769,0.2534
Antiviral_023,508,10,78,20,0.8571,0.6667,0.2041,0.8062,0.3125,0.314
Antiviral_023,503,15,64,34,0.8718,0.6939,0.3469,0.808,0.4626,0.4298
Antiviral_023,491,27,73,25,0.8377,0.4808,0.2551,0.778,0.3333,0.267
Antiviral_023,499,19,66,32,0.862,0.6275,0.3265,0.7577,0.4295,0.3847
Antiviral_023,509,9,69,29,0.8734,0.7632,0.2959,0.807,0.4265,0.4235
Antiviral_023,498,20,71,27,0.8523,0.5745,0.2755,0.7293,0.3724,0.3264
Antiviral_023,504,14,71,27,0.862,0.6585,0.2755,0.8099,0.3885,0.3646
Antiviral_024,501,18,65,32,0.8653,0.64,0.3299,0.8132,0.4354,0.3937
Antiviral_024,501,18,56,41,0.8799,0.6949,0.4227,0.8358,0.5256,0.4802
Antiviral_024,499,20,64,33,0.8636,0.6226,0.3402,0.8088,0.44,0.3918
Antiviral_024,503,15,74,24,0.8555,0.6154,0.2449,0.8077,0.3504,0.3243
Antiviral_024,503,15,69,29,0.8636,0.6591,0.2959,0.8078,0.4085,0.3791
Antiviral_024,498,20,74,24,0.8474,0.5455,0.2449,0.7929,0.338,0.293
Antiviral_024,493,25,63,35,0.8571,0.5833,0.3571,0.7724,0.443,0.381
Antiviral_024,505,13,71,27,0.8636,0.675,0.2755,0.8158,0.3913,0.3717
Antiviral_024,490,28,67,31,0.8458,0.5254,0.3163,0.7481,0.3949,0.326
Antiviral_024,493,25,67,31,0.8506,0.5536,0.3163,0.818,0.4026,0.3411
Antiviral_025,505,14,67,30,0.8685,0.6818,0.3093,0.8036,0.4255,0.3993
Antiviral_025,499,20,60,37,0.8701,0.6491,0.3814,0.8184,0.4805,0.431
Antiviral_025,499,20,66,31,0.8604,0.6078,0.3196,0.8006,0.4189,0.3715
Antiviral_025,500,18,73,25,0.8523,0.5814,0.2551,0.8147,0.3546,0.3163
Antiviral_025,505,13,69,29,0.8669,0.6905,0.2959,0.8056,0.4143,0.393
Antiviral_025,491,27,64,34,0.8523,0.5574,0.3469,0.8194,0.4277,0.361
Antiviral_025,480,38,55,43,0.849,0.5309,0.4388,0.7593,0.4804,0.3955
Antiviral_025,503,15,61,37,0.8766,0.7115,0.3776,0.8093,0.4933,0.4586
Antiviral_025,490,28,72,26,0.8377,0.4815,0.2653,0.7506,0.3421,0.2732
Antiviral_025,491,27,60,38,0.8588,0.5846,0.3878,0.8314,0.4663,0.3996
Antiviral_026,498,21,68,29,0.8555,0.58,0.299,0.8047,0.3946,0.3448
Antiviral_026,491,28,49,48,0.875,0.6316,0.4948,0.8418,0.5549,0.4883
Antiviral_026,502,17,67,30,0.8636,0.6383,0.3093,0.806,0.4167,0.3794
Antiviral_026,507,11,77,21,0.8571,0.6562,0.2143,0.8394,0.3231,0.3182
Antiviral_026,507,11,67,31,0.8734,0.7381,0.3163,0.7915,0.4429,0.4282
Antiviral_026,504,14,74,24,0.8571,0.6316,0.2449,0.8102,0.3529,0.3312
Antiviral_026,484,34,55,43,0.8555,0.5584,0.4388,0.7646,0.4914,0.4127
Antiviral_026,507,11,66,32,0.875,0.7442,0.3265,0.8142,0.4539,0.4382
Antiviral_026,500,18,74,24,0.8506,0.5714,0.2449,0.7577,0.3429,0.3049
Antiviral_026,503,15,70,28,0.862,0.6512,0.2857,0.8157,0.3972,0.3685
