label,tn,fp,fn,tp,acc,pre,recall,auc,f1,mcc
MammalianCells_003,363,1,252,0,0.5893,0.0,0.0,0.561,,-0.0336
MammalianCells_003,361,3,249,3,0.5909,0.5,0.0119,0.5978,0.0233,0.0183
MammalianCells_003,363,1,252,0,0.5893,0.0,0.0,0.5584,,-0.0336
MammalianCells_003,361,3,252,0,0.586,0.0,0.0,0.5768,,-0.0582
MammalianCells_003,362,3,246,5,0.5958,0.625,0.0199,0.5594,0.0386,0.0508
MammalianCells_003,363,2,249,2,0.5925,0.5,0.008,0.5957,0.0157,0.0152
MammalianCells_003,359,6,250,1,0.5844,0.1429,0.004,0.5372,0.0078,-0.0577
MammalianCells_003,364,1,248,3,0.5958,0.75,0.012,0.5402,0.0235,0.0564
MammalianCells_003,365,0,251,0,0.5925,,0.0,0.5615,,
MammalianCells_003,362,3,248,3,0.5925,0.5,0.012,0.5477,0.0233,0.0187
MammalianCells_004,359,5,251,1,0.5844,0.1667,0.004,0.5602,0.0078,-0.0489
MammalianCells_004,334,30,223,29,0.5893,0.4915,0.1151,0.5812,0.1865,0.0546
MammalianCells_004,354,10,238,14,0.5974,0.5833,0.0556,0.5696,0.1014,0.0714
MammalianCells_004,352,12,237,15,0.5958,0.5556,0.0595,0.5946,0.1075,0.0638
MammalianCells_004,362,3,248,3,0.5925,0.5,0.012,0.6124,0.0233,0.0187
MammalianCells_004,359,6,248,3,0.5877,0.3333,0.012,0.4984,0.0231,-0.0184
MammalianCells_004,166,199,107,144,0.5032,0.4198,0.5737,0.5312,0.4848,0.0282
MammalianCells_004,327,38,212,39,0.5942,0.5065,0.1554,0.5467,0.2378,0.0762
MammalianCells_004,350,15,238,13,0.5893,0.4643,0.0518,0.5598,0.0932,0.0252
MammalianCells_004,352,13,242,9,0.586,0.4091,0.0359,0.5552,0.0659,0.0006
MammalianCells_005,350,14,228,24,0.6071,0.6316,0.0952,0.6323,0.1655,0.116
MammalianCells_005,319,45,182,70,0.6315,0.6087,0.2778,0.6542,0.3815,0.1945
MammalianCells_005,179,185,70,182,0.586,0.4959,0.7222,0.6455,0.588,0.2144
MammalianCells_005,333,31,214,38,0.6023,0.5507,0.1508,0.6463,0.2368,0.1023
MammalianCells_005,307,58,170,81,0.6299,0.5827,0.3227,0.6469,0.4154,0.1926
MammalianCells_005,159,206,68,183,0.5552,0.4704,0.7291,0.6094,0.5719,0.1678
MammalianCells_005,222,143,123,128,0.5682,0.4723,0.51,0.6103,0.4904,0.117
MammalianCells_005,327,38,205,46,0.6055,0.5476,0.1833,0.6031,0.2746,0.1133
MammalianCells_005,209,156,92,159,0.5974,0.5048,0.6335,0.6366,0.5618,0.2026
MammalianCells_005,297,68,169,82,0.6153,0.5467,0.3267,0.6382,0.409,0.1607
MammalianCells_006,306,58,167,85,0.6347,0.5944,0.3373,0.6638,0.4304,0.2072
MammalianCells_006,213,151,99,153,0.5942,0.5033,0.6071,0.6452,0.5504,0.1891
MammalianCells_006,348,16,206,46,0.6396,0.7419,0.1825,0.6367,0.293,0.2265
MammalianCells_006,292,72,156,96,0.6299,0.5714,0.381,0.6737,0.4571,0.2022
MammalianCells_006,217,148,92,159,0.6104,0.5179,0.6335,0.6505,0.5699,0.224
MammalianCells_006,247,118,126,125,0.6039,0.5144,0.498,0.6342,0.5061,0.1757
MammalianCells_006,226,139,128,123,0.5666,0.4695,0.49,0.6153,0.4795,0.1085
MammalianCells_006,323,42,185,66,0.6315,0.6111,0.2629,0.631,0.3677,0.1911
MammalianCells_006,314,51,194,57,0.6023,0.5278,0.2271,0.6445,0.3175,0.1129
MammalianCells_006,279,86,143,108,0.6282,0.5567,0.4303,0.6555,0.4854,0.2059
