label,tn,fp,fn,tp,acc,pre,recall,auc,f1,mcc
Antibacterial_001,46.0,105.0,37.0,428.0,0.7695,0.803,0.9204,0.6682,0.8577,0.2835
MammalianCells_001,174.0,203.0,55.0,184.0,0.5812,0.4755,0.7699,0.6392,0.5879,0.2333
Antifungal_001,385.0,27.0,180.0,24.0,0.664,0.4706,0.1176,0.5301,0.1882,0.089
Antiviral_001,487.0,21.0,83.0,25.0,0.8312,0.5435,0.2315,0.6489,0.3247,0.275
Anticancer_001,537.0,1.0,78.0,0.0,0.8718,0.0,0.0,0.6218,,-0.0154
macro_001,,,,,0.7435,0.4585,0.4079,0.6216,0.4896,0.1731
Antibacterial_001,44.0,98.0,38.0,436.0,0.7792,0.8165,0.9198,0.6936,0.8651,0.2848
MammalianCells_001,159.0,222.0,43.0,192.0,0.5698,0.4638,0.817,0.612,0.5917,0.2425
Antifungal_001,408.0,15.0,167.0,26.0,0.7045,0.6341,0.1347,0.5823,0.2222,0.1847
Antiviral_001,500.0,17.0,72.0,27.0,0.8555,0.6136,0.2727,0.7022,0.3776,0.342
Anticancer_001,540.0,4.0,71.0,1.0,0.8782,0.2,0.0139,0.5949,0.026,0.0234
macro_001,,,,,0.7575,0.5456,0.4316,0.637,0.4165,0.2155
Antibacterial_001,32.0,116.0,34.0,434.0,0.7565,0.7891,0.9274,0.6524,0.8527,0.1983
MammalianCells_001,150.0,202.0,44.0,220.0,0.6006,0.5213,0.8333,0.6361,0.6414,0.2764
Antifungal_001,398.0,24.0,170.0,24.0,0.6851,0.5,0.1237,0.5699,0.1983,0.1158
Antiviral_001,497.0,19.0,77.0,23.0,0.8442,0.5476,0.23,0.643,0.3239,0.2826
Anticancer_001,527.0,1.0,88.0,0.0,0.8555,0.0,0.0,0.5732,,-0.0165
macro_001,,,,,0.7484,0.4716,0.4229,0.6149,0.5041,0.1713
Antibacterial_001,40.0,94.0,30.0,452.0,0.7987,0.8278,0.9378,0.6909,0.8794,0.3071
MammalianCells_001,152.0,220.0,58.0,186.0,0.5487,0.4581,0.7623,0.6033,0.5723,0.1763
Antifungal_001,387.0,16.0,188.0,25.0,0.6688,0.6098,0.1174,0.5745,0.1969,0.1482
Antiviral_001,518.0,17.0,60.0,21.0,0.875,0.5526,0.2593,0.6592,0.3529,0.3195
Anticancer_001,531.0,2.0,83.0,0.0,0.862,0.0,0.0,0.5414,,-0.0225
macro_001,,,,,0.7506,0.4897,0.4153,0.6139,0.5004,0.1857
Antibacterial_001,40.0,101.0,25.0,450.0,0.7955,0.8167,0.9474,0.6813,0.8772,0.316
MammalianCells_001,139.0,223.0,37.0,217.0,0.5779,0.4932,0.8543,0.6333,0.6254,0.2597
Antifungal_001,384.0,34.0,173.0,25.0,0.664,0.4237,0.1263,0.54,0.1946,0.0713
Antiviral_001,511.0,17.0,66.0,22.0,0.8653,0.5641,0.25,0.7032,0.3465,0.313
Anticancer_001,544.0,0.0,72.0,0.0,0.8831,,0.0,0.5661,,
macro_001,,,,,0.7571,0.5744,0.4356,0.6248,0.5109,0.24
Antibacterial_001,43.0,112.0,26.0,435.0,0.776,0.7952,0.9436,0.6534,0.8631,0.3041
MammalianCells_001,164.0,201.0,39.0,212.0,0.6104,0.5133,0.8446,0.6501,0.6386,0.3073
Antifungal_001,397.0,19.0,170.0,30.0,0.6932,0.6122,0.15,0.5924,0.241,0.1805
Antiviral_001,497.0,15.0,80.0,24.0,0.8458,0.6154,0.2308,0.6658,0.3357,0.3099
Anticancer_001,537.0,0.0,79.0,0.0,0.8718,,0.0,0.6373,,
macro_001,,,,,0.7594,0.634,0.4338,0.6398,0.5196,0.2754
Antibacterial_001,52.0,109.0,26.0,429.0,0.7808,0.7974,0.9429,0.7269,0.864,0.3512
MammalianCells_001,185.0,192.0,44.0,195.0,0.6169,0.5039,0.8159,0.6762,0.623,0.3092
Antifungal_001,415.0,27.0,150.0,24.0,0.7127,0.4706,0.1379,0.5567,0.2133,0.1255
Antiviral_001,493.0,13.0,96.0,14.0,0.8231,0.5185,0.1273,0.7075,0.2044,0.19
Anticancer_001,531.0,2.0,83.0,0.0,0.862,0.0,0.0,0.5974,,-0.0225
macro_001,,,,,0.7591,0.4581,0.4048,0.6529,0.4762,0.1907
Antibacterial_001,49.0,101.0,29.0,437.0,0.789,0.8123,0.9378,0.7074,0.8705,0.3413
MammalianCells_001,166.0,196.0,39.0,215.0,0.6185,0.5231,0.8465,0.6594,0.6466,0.3186
Antifungal_001,395.0,14.0,178.0,29.0,0.6883,0.6744,0.1401,0.5717,0.232,0.1962
Antiviral_001,503.0,18.0,64.0,31.0,0.8669,0.6327,0.3263,0.7062,0.4306,0.3894
Anticancer_001,523.0,1.0,92.0,0.0,0.849,0.0,0.0,0.6201,,-0.0169
macro_001,,,,,0.7623,0.5285,0.4501,0.6529,0.5449,0.2457
Antibacterial_001,44.0,102.0,35.0,435.0,0.7776,0.8101,0.9255,0.6824,0.864,0.2886
MammalianCells_001,161.0,197.0,45.0,213.0,0.6071,0.5195,0.8256,0.6423,0.6377,0.2879
Antifungal_001,385.0,18.0,188.0,25.0,0.6656,0.5814,0.1174,0.5512,0.1953,0.1357
Antiviral_001,505.0,20.0,68.0,23.0,0.8571,0.5349,0.2527,0.6789,0.3433,0.2989
Anticancer_001,539.0,4.0,73.0,0.0,0.875,0.0,0.0,0.6316,,-0.0296
macro_001,,,,,0.7565,0.4892,0.4242,0.6373,0.5101,0.1963
Antibacterial_001,37.0,110.0,28.0,441.0,0.776,0.8004,0.9403,0.6556,0.8647,0.2664
MammalianCells_001,150.0,190.0,40.0,236.0,0.6266,0.554,0.8551,0.6574,0.6724,0.319
Antifungal_001,373.0,32.0,182.0,29.0,0.6526,0.4754,0.1374,0.5419,0.2132,0.0928
Antiviral_001,500.0,15.0,83.0,18.0,0.8409,0.5455,0.1782,0.599,0.2687,0.2451
Anticancer_001,521.0,1.0,94.0,0.0,0.8458,0.0,0.0,0.5855,,-0.0171
macro_001,,,,,0.7484,0.475,0.4222,0.6079,0.5047,0.1812
Antibacterial_002,55.0,96.0,43.0,422.0,0.7744,0.8147,0.9075,0.7108,0.8586,0.3196
MammalianCells_002,198.0,179.0,53.0,186.0,0.6234,0.5096,0.7782,0.6778,0.6159,0.3009
Antifungal_002,362.0,50.0,153.0,51.0,0.6705,0.505,0.25,0.5822,0.3344,0.1635
Antiviral_002,477.0,31.0,87.0,21.0,0.8084,0.4038,0.1944,0.7051,0.2625,0.1825
Anticancer_002,531.0,7.0,77.0,1.0,0.8636,0.125,0.0128,0.6034,0.0233,-0.0006
macro_002,,,,,0.7481,0.4716,0.4286,0.6559,0.4189,0.1932
Antibacterial_002,64.0,78.0,49.0,425.0,0.7938,0.8449,0.8966,0.6966,0.87,0.378
MammalianCells_002,208.0,173.0,55.0,180.0,0.6299,0.5099,0.766,0.6634,0.6122,0.3063
Antifungal_002,378.0,45.0,132.0,61.0,0.7127,0.5755,0.3161,0.6519,0.408,0.2577
Antiviral_002,483.0,34.0,73.0,26.0,0.8263,0.4333,0.2626,0.6661,0.327,0.2438
Anticancer_002,527.0,17.0,70.0,2.0,0.8588,0.1053,0.0278,0.6364,0.044,-0.0065
macro_002,,,,,0.7643,0.4938,0.4538,0.6629,0.4523,0.2359
Antibacterial_002,56.0,92.0,45.0,423.0,0.7776,0.8214,0.9038,0.683,0.8606,0.3257
MammalianCells_002,189.0,163.0,52.0,212.0,0.651,0.5653,0.803,0.6732,0.6635,0.3447
Antifungal_002,374.0,48.0,140.0,54.0,0.6948,0.5294,0.2784,0.6353,0.3649,0.2057
Antiviral_002,493.0,23.0,71.0,29.0,0.8474,0.5577,0.29,0.6883,0.3816,0.3255
Anticancer_002,518.0,10.0,87.0,1.0,0.8425,0.0909,0.0114,0.5983,0.0202,-0.02
macro_002,,,,,0.7627,0.5129,0.4573,0.6556,0.4582,0.2363
Antibacterial_002,53.0,81.0,47.0,435.0,0.7922,0.843,0.9025,0.6928,0.8717,0.3334
MammalianCells_002,182.0,190.0,68.0,176.0,0.5812,0.4809,0.7213,0.6335,0.577,0.2097
Antifungal_002,373.0,30.0,160.0,53.0,0.6916,0.6386,0.2488,0.605,0.3581,0.2429
Antiviral_002,508.0,27.0,60.0,21.0,0.8588,0.4375,0.2593,0.7118,0.3256,0.2632
Anticancer_002,524.0,9.0,81.0,2.0,0.8539,0.1818,0.0241,0.6008,0.0426,0.0186
macro_002,,,,,0.7555,0.5164,0.4312,0.6488,0.435,0.2136
Antibacterial_002,53.0,88.0,26.0,449.0,0.8149,0.8361,0.9453,0.6831,0.8874,0.4035
MammalianCells_002,163.0,199.0,46.0,208.0,0.6023,0.5111,0.8189,0.6423,0.6293,0.2799
Antifungal_002,387.0,31.0,153.0,45.0,0.7013,0.5921,0.2273,0.6179,0.3285,0.2174
Antiviral_002,507.0,21.0,61.0,27.0,0.8669,0.5625,0.3068,0.7036,0.3971,0.3486
Anticancer_002,527.0,17.0,67.0,5.0,0.8636,0.2273,0.0694,0.5942,0.1064,0.0661
macro_002,,,,,0.7698,0.5458,0.4735,0.6482,0.4697,0.2631
Antibacterial_002,56.0,99.0,33.0,428.0,0.7857,0.8121,0.9284,0.6938,0.8664,0.3576
MammalianCells_002,184.0,181.0,47.0,204.0,0.6299,0.5299,0.8127,0.6514,0.6415,0.3216
Antifungal_002,375.0,41.0,142.0,58.0,0.7029,0.5859,0.29,0.6312,0.388,0.2441
Antiviral_002,493.0,19.0,78.0,26.0,0.8425,0.5778,0.25,0.6802,0.349,0.3065
Anticancer_002,526.0,11.0,78.0,1.0,0.8555,0.0833,0.0127,0.6601,0.022,-0.0189
macro_002,,,,,0.7633,0.5178,0.4588,0.6634,0.4534,0.2422
Antibacterial_002,62.0,99.0,37.0,418.0,0.7792,0.8085,0.9187,0.7537,0.8601,0.3634
MammalianCells_002,207.0,170.0,45.0,194.0,0.651,0.533,0.8117,0.6993,0.6434,0.3576
Antifungal_002,387.0,55.0,127.0,47.0,0.7045,0.4608,0.2701,0.6249,0.3406,0.1764
Antiviral_002,484.0,22.0,80.0,30.0,0.8344,0.5769,0.2727,0.7231,0.3704,0.3158
Anticancer_002,516.0,17.0,80.0,3.0,0.8425,0.15,0.0361,0.5681,0.0583,0.0082
macro_002,,,,,0.7623,0.5058,0.4619,0.6738,0.4545,0.2443
Antibacterial_002,67.0,83.0,30.0,436.0,0.8166,0.8401,0.9356,0.7282,0.8853,0.4505
MammalianCells_002,198.0,164.0,48.0,206.0,0.6558,0.5568,0.811,0.6858,0.6603,0.3598
Antifungal_002,376.0,33.0,153.0,54.0,0.6981,0.6207,0.2609,0.6232,0.3673,0.2444
Antiviral_002,496.0,25.0,62.0,33.0,0.8588,0.569,0.3474,0.7074,0.4314,0.3702
Anticancer_002,515.0,9.0,89.0,3.0,0.8409,0.25,0.0326,0.6279,0.0577,0.0398
macro_002,,,,,0.774,0.5673,0.4775,0.6745,0.4804,0.2929
Antibacterial_002,57.0,89.0,29.0,441.0,0.8084,0.8321,0.9383,0.6996,0.882,0.4033
MammalianCells_002,195.0,163.0,51.0,207.0,0.6526,0.5595,0.8023,0.6881,0.6592,0.3496
Antifungal_002,365.0,38.0,156.0,57.0,0.6851,0.6,0.2676,0.6121,0.3701,0.2282
Antiviral_002,503.0,22.0,66.0,25.0,0.8571,0.5319,0.2747,0.7284,0.3623,0.3112
Anticancer_002,535.0,8.0,70.0,3.0,0.8734,0.2727,0.0411,0.625,0.0714,0.0643
macro_002,,,,,0.7753,0.5592,0.4648,0.6706,0.469,0.2713
Antibacterial_002,55.0,92.0,47.0,422.0,0.7744,0.821,0.8998,0.6918,0.8586,0.3141
MammalianCells_002,178.0,162.0,59.0,217.0,0.6412,0.5726,0.7862,0.6646,0.6626,0.3166
Antifungal_002,364.0,41.0,154.0,57.0,0.6834,0.5816,0.2701,0.6024,0.3689,0.2191
Antiviral_002,489.0,26.0,67.0,34.0,0.849,0.5667,0.3366,0.6917,0.4224,0.3573
Anticancer_002,509.0,13.0,93.0,1.0,0.8279,0.0714,0.0106,0.6061,0.0185,-0.0344
macro_002,,,,,0.7552,0.5227,0.4607,0.6513,0.4662,0.2345
Antibacterial_003,58.0,93.0,45.0,420.0,0.776,0.8187,0.9032,0.7057,0.8589,0.3312
MammalianCells_003,197.0,180.0,47.0,192.0,0.6315,0.5161,0.8033,0.6759,0.6285,0.3247
Antifungal_003,364.0,48.0,145.0,59.0,0.6867,0.5514,0.2892,0.6045,0.3794,0.2146
