label,tn,fp,fn,tp,acc,pre,recall,auc,f1,mcc
Antibacterial_001,44,103,45,424,0.7597,0.8046,0.9041,0.6138,0.8514,0.2466
Antibacterial_001,39,108,55,414,0.7354,0.7931,0.8827,0.585,0.8355,0.1755
Antibacterial_001,42,105,46,423,0.7549,0.8011,0.9019,0.6157,0.8485,0.2286
Antibacterial_001,50,97,55,414,0.7532,0.8102,0.8827,0.6211,0.8449,0.2526
Antibacterial_001,48,99,40,429,0.7744,0.8125,0.9147,0.6049,0.8606,0.2939
Antibacterial_001,47,101,44,424,0.7646,0.8076,0.906,0.6166,0.854,0.2692
Antibacterial_001,44,104,63,405,0.7289,0.7957,0.8654,0.5902,0.8291,0.1835
Antibacterial_001,48,100,55,413,0.7484,0.8051,0.8825,0.633,0.842,0.2368
Antibacterial_001,41,107,52,416,0.7419,0.7954,0.8889,0.5858,0.8396,0.198
Antibacterial_001,45,103,45,423,0.7597,0.8042,0.9038,0.5557,0.8511,0.2515
Antibacterial_002,59,88,36,433,0.7987,0.8311,0.9232,0.7006,0.8747,0.3831
Antibacterial_002,43,104,42,427,0.763,0.8041,0.9104,0.6996,0.854,0.2508
Antibacterial_002,59,88,31,438,0.8068,0.8327,0.9339,0.7007,0.8804,0.4046
Antibacterial_002,55,92,40,429,0.7857,0.8234,0.9147,0.7134,0.8667,0.3409
Antibacterial_002,51,96,32,437,0.7922,0.8199,0.9318,0.6685,0.8723,0.3479
Antibacterial_002,50,98,38,430,0.7792,0.8144,0.9188,0.7143,0.8635,0.3133
Antibacterial_002,48,100,47,421,0.7614,0.8081,0.8996,0.6657,0.8514,0.2649
Antibacterial_002,57,91,31,437,0.8019,0.8277,0.9338,0.7354,0.8775,0.3894
Antibacterial_002,44,104,43,425,0.7614,0.8034,0.9081,0.6523,0.8526,0.252
Antibacterial_002,57,91,28,440,0.8068,0.8286,0.9402,0.7114,0.8809,0.403
Antibacterial_003,66,81,41,428,0.8019,0.8409,0.9126,0.7856,0.8753,0.4068
Antibacterial_003,61,86,53,416,0.7744,0.8287,0.887,0.784,0.8568,0.3314
Antibacterial_003,64,83,35,434,0.8084,0.8395,0.9254,0.777,0.8803,0.4187
Antibacterial_003,60,87,46,423,0.7841,0.8294,0.9019,0.7824,0.8641,0.3502
Antibacterial_003,62,85,37,432,0.8019,0.8356,0.9211,0.7781,0.8763,0.3979
Antibacterial_003,62,86,27,441,0.8166,0.8368,0.9423,0.7838,0.8864,0.439
Antibacterial_003,55,93,57,411,0.7565,0.8155,0.8782,0.7548,0.8457,0.2767
Antibacterial_003,71,77,33,435,0.8214,0.8496,0.9295,0.8036,0.8878,0.4667
Antibacterial_003,54,94,43,425,0.7776,0.8189,0.9081,0.745,0.8612,0.3202
Antibacterial_003,71,77,38,430,0.8133,0.8481,0.9188,0.8258,0.8821,0.4462
Antibacterial_004,75,72,40,429,0.8182,0.8563,0.9147,0.8328,0.8845,0.4648
