label,tn,fp,fn,tp,acc,pre,recall,auc,f1,mcc
Anticancer_001,464,70,67,15,0.7776,0.1765,0.1829,0.5061,0.1796,0.0511
Anticancer_001,455,79,69,13,0.7597,0.1413,0.1585,0.5278,0.1494,0.0101
Anticancer_001,475,59,70,12,0.7906,0.169,0.1463,0.5175,0.1569,0.0381
Anticancer_001,467,67,63,19,0.789,0.2209,0.2317,0.6212,0.2262,0.1041
Anticancer_001,475,60,68,13,0.7922,0.1781,0.1605,0.5626,0.1688,0.0505
Anticancer_001,483,52,68,13,0.8052,0.2,0.1605,0.5622,0.1781,0.0696
Anticancer_001,470,65,66,15,0.7873,0.1875,0.1852,0.5564,0.1863,0.064
Anticancer_001,465,70,69,12,0.7744,0.1463,0.1481,0.5705,0.1472,0.0172
Anticancer_001,462,73,66,15,0.7744,0.1705,0.1852,0.5653,0.1775,0.0471
Anticancer_001,457,78,63,18,0.7711,0.1875,0.2222,0.5761,0.2034,0.0712
Anticancer_002,524,10,73,9,0.8653,0.4737,0.1098,0.6783,0.1782,0.1789
Anticancer_002,518,16,79,3,0.8458,0.1579,0.0366,0.5213,0.0594,0.013
Anticancer_002,520,14,73,9,0.8588,0.3913,0.1098,0.551,0.1714,0.1497
Anticancer_002,524,10,71,11,0.8685,0.5238,0.1341,0.6577,0.2136,0.2161
Anticancer_002,520,15,74,7,0.8555,0.3182,0.0864,0.6274,0.1359,0.1063
Anticancer_002,525,10,74,7,0.8636,0.4118,0.0864,0.592,0.1429,0.1397
Anticancer_002,519,16,73,8,0.8555,0.3333,0.0988,0.6045,0.1524,0.1203
Anticancer_002,523,12,73,8,0.862,0.4,0.0988,0.5681,0.1584,0.1455
Anticancer_002,525,10,75,6,0.862,0.375,0.0741,0.5756,0.1237,0.1177
Anticancer_002,523,12,73,8,0.862,0.4,0.0988,0.5851,0.1584,0.1455
Anticancer_003,529,5,75,7,0.8701,0.5833,0.0854,0.6891,0.1489,0.1868
Anticancer_003,528,6,78,4,0.8636,0.4,0.0488,0.5856,0.087,0.1009
Anticancer_003,531,3,77,5,0.8701,0.625,0.061,0.6371,0.1111,0.1661
