label,tn,fp,fn,tp,acc,pre,recall,auc,f1,mcc
Antifungal_001,382,34,155,45,0.6932,0.5696,0.225,0.5937,0.3226,0.2006
Antifungal_001,380,36,156,44,0.6883,0.55,0.22,0.5718,0.3143,0.1859
Antifungal_001,373,43,160,40,0.6705,0.4819,0.2,0.5313,0.2827,0.1325
Antifungal_001,371,44,153,48,0.6802,0.5217,0.2388,0.5637,0.3276,0.1747
Antifungal_001,378,37,170,31,0.664,0.4559,0.1542,0.5173,0.2305,0.0974
Antifungal_001,381,34,154,47,0.6948,0.5802,0.2338,0.5889,0.3333,0.2108
Antifungal_001,362,53,153,48,0.6656,0.4752,0.2388,0.546,0.3179,0.1407
Antifungal_001,369,46,157,44,0.6705,0.4889,0.2189,0.5509,0.3024,0.1434
Antifungal_001,382,33,148,53,0.7062,0.6163,0.2637,0.6224,0.3693,0.2491
Antifungal_001,367,48,162,39,0.6591,0.4483,0.194,0.5476,0.2708,0.1055
Antifungal_002,390,26,154,46,0.7078,0.6389,0.23,0.6196,0.3382,0.2441
Antifungal_002,391,25,147,53,0.7208,0.6795,0.265,0.601,0.3813,0.2885
Antifungal_002,391,25,144,56,0.7256,0.6914,0.28,0.6228,0.3986,0.3047
Antifungal_002,367,48,159,42,0.664,0.4667,0.209,0.5749,0.2887,0.1238
Antifungal_002,390,25,162,39,0.6964,0.6094,0.194,0.5605,0.2943,0.2056
Antifungal_002,387,28,135,66,0.7354,0.7021,0.3284,0.6574,0.4475,0.3402
Antifungal_002,374,41,147,54,0.6948,0.5684,0.2687,0.6184,0.3649,0.2205
Antifungal_002,392,23,152,49,0.7159,0.6806,0.2438,0.6489,0.359,0.2749
Antifungal_002,391,24,141,60,0.7321,0.7143,0.2985,0.6407,0.4211,0.3288
Antifungal_002,375,40,157,44,0.6802,0.5238,0.2189,0.5829,0.3088,0.1674
Antifungal_003,381,35,143,57,0.711,0.6196,0.285,0.6697,0.3904,0.2639
Antifungal_003,372,44,134,66,0.711,0.6,0.33,0.6883,0.4258,0.2741
Antifungal_003,376,40,128,72,0.7273,0.6429,0.36,0.7084,0.4615,0.3203
Antifungal_003,361,54,141,60,0.6834,0.5263,0.2985,0.6664,0.381,0.2033
Antifungal_003,381,34,150,51,0.7013,0.6,0.2537,0.6707,0.3566,0.2336
Antifungal_003,367,48,132,69,0.7078,0.5897,0.3433,0.6829,0.434,0.2721
Antifungal_003,368,47,124,77,0.7224,0.621,0.3831,0.6848,0.4738,0.3155
Antifungal_003,369,46,141,60,0.6964,0.566,0.2985,0.6671,0.3909,0.2331
Antifungal_003,383,32,131,70,0.7354,0.6863,0.3483,0.6918,0.462,0.342
Antifungal_003,375,40,140,61,0.7078,0.604,0.3035,0.6749,0.404,0.2623
Antifungal_004,361,55,138,62,0.6867,0.5299,0.31,0.6856,0.3912,0.2122
Antifungal_004,366,50,127,73,0.7127,0.5935,0.365,0.7041,0.452,0.2868
Antifungal_004,368,48,126,74,0.7175,0.6066,0.37,0.7492,0.4596,0.2992
Antifungal_004,353,62,129,72,0.6899,0.5373,0.3582,0.6695,0.4299,0.2373
Antifungal_004,374,41,134,67,0.7159,0.6204,0.3333,0.7107,0.4337,0.2892
Antifungal_004,374,41,129,72,0.724,0.6372,0.3582,0.7023,0.4586,0.3143
Antifungal_004,352,63,110,91,0.7192,0.5909,0.4527,0.7072,0.5127,0.3258
Antifungal_004,365,50,126,75,0.7143,0.6,0.3731,0.713,0.4601,0.2945
Antifungal_004,362,53,115,86,0.7273,0.6187,0.4279,0.7141,0.5059,0.3367
