label,tn,fp,fn,tp,acc,pre,recall,auc,f1,mcc
Antiviral_001,499,20,81,16,0.836,0.4444,0.1649,0.661,0.2406,0.1963
Antiviral_001,498,21,68,29,0.8555,0.58,0.299,0.6947,0.3946,0.3448
Antiviral_001,506,13,82,15,0.8458,0.5357,0.1546,0.6652,0.24,0.2266
Antiviral_001,500,18,79,19,0.8425,0.5135,0.1939,0.6623,0.2815,0.245
Antiviral_001,500,18,69,29,0.8588,0.617,0.2959,0.7004,0.4,0.3598
Antiviral_001,499,19,72,26,0.8523,0.5778,0.2653,0.6757,0.3636,0.3214
Antiviral_001,492,26,75,23,0.836,0.4694,0.2347,0.6392,0.3129,0.2494
Antiviral_001,502,16,72,26,0.8571,0.619,0.2653,0.6399,0.3714,0.3402
Antiviral_001,501,17,79,19,0.8442,0.5278,0.1939,0.5746,0.2836,0.2511
Antiviral_001,506,12,70,28,0.8669,0.7,0.2857,0.7206,0.4058,0.3897
Antiviral_002,498,21,73,24,0.8474,0.5333,0.2474,0.6646,0.338,0.2897
Antiviral_002,500,19,65,32,0.8636,0.6275,0.3299,0.7434,0.4324,0.3877
Antiviral_002,494,25,66,31,0.8523,0.5536,0.3196,0.6539,0.4052,0.3439
Antiviral_002,501,17,74,24,0.8523,0.5854,0.2449,0.6824,0.3453,0.3112
Antiviral_002,503,15,68,30,0.8653,0.6667,0.3061,0.6936,0.4196,0.3896
Antiviral_002,498,20,77,21,0.8425,0.5122,0.2143,0.6683,0.3022,0.2578
Antiviral_002,479,39,77,21,0.8117,0.35,0.2143,0.6109,0.2658,0.1715
Antiviral_002,494,24,74,24,0.8409,0.5,0.2449,0.6863,0.3288,0.2709
Antiviral_002,486,32,82,16,0.8149,0.3333,0.1633,0.6151,0.2192,0.1385
Antiviral_002,502,16,71,27,0.8588,0.6279,0.2755,0.6833,0.383,0.3511
Antiviral_003,496,23,66,31,0.8555,0.5741,0.3196,0.79,0.4106,0.3545
Antiviral_003,497,22,54,43,0.8766,0.6615,0.4433,0.8402,0.5309,0.4753
Antiviral_003,492,27,63,34,0.8539,0.5574,0.3505,0.7783,0.4304,0.364
Antiviral_003,498,20,67,31,0.8588,0.6078,0.3163,0.8132,0.4161,0.3686
Antiviral_003,494,24,63,35,0.8588,0.5932,0.3571,0.7832,0.4459,0.3863
Antiviral_003,494,24,66,32,0.8539,0.5714,0.3265,0.7706,0.4156,0.3565
Antiviral_003,488,30,66,32,0.8442,0.5161,0.3265,0.7584,0.4,0.3266
Antiviral_003,488,30,62,36,0.8506,0.5455,0.3673,0.7905,0.439,0.3659
Antiviral_003,499,19,78,20,0.8425,0.5128,0.2041,0.7765,0.292,0.2514
Antiviral_003,498,20,55,43,0.8782,0.6825,0.4388,0.8005,0.5342,0.483
Antiviral_004,490,29,62,35,0.8523,0.5469,0.3608,0.7773,0.4348,0.364
Antiviral_004,492,27,52,45,0.8718,0.625,0.4639,0.8527,0.5325,0.467
Antiviral_004,500,19,63,34,0.8669,0.6415,0.3505,0.8271,0.4533,0.4077
Antiviral_004,497,21,64,34,0.862,0.6182,0.3469,0.8348,0.4444,0.393
Antiviral_004,499,19,58,40,0.875,0.678,0.4082,0.8158,0.5096,0.4617
Antiviral_004,488,30,63,35,0.849,0.5385,0.3571,0.8109,0.4294,0.3562
Antiviral_004,489,29,62,36,0.8523,0.5538,0.3673,0.8073,0.4417,0.3707
Antiviral_004,494,24,59,39,0.8653,0.619,0.398,0.8012,0.4845,0.4245
Antiviral_004,493,25,64,34,0.8555,0.5763,0.3469,0.7999,0.4331,0.3712
Antiviral_004,498,20,54,44,0.8799,0.6875,0.449,0.8352,0.5432,0.4919
Antiviral_005,494,25,64,33,0.8555,0.569,0.3402,0.8052,0.4258,0.3642
Antiviral_005,492,27,53,44,0.8701,0.6197,0.4536,0.8749,0.5238,0.4581
Antiviral_005,496,23,62,35,0.862,0.6034,0.3608,0.824,0.4516,0.3948
Antiviral_005,499,19,64,34,0.8653,0.6415,0.3469,0.8554,0.4503,0.4047
Antiviral_005,499,19,60,38,0.8718,0.6667,0.3878,0.7951,0.4903,0.4431
Antiviral_005,495,23,61,37,0.8636,0.6167,0.3776,0.8232,0.4684,0.411
Antiviral_005,493,25,62,36,0.8588,0.5902,0.3673,0.7899,0.4528,0.3907
Antiviral_005,491,27,64,34,0.8523,0.5574,0.3469,0.8083,0.4277,0.361
Antiviral_005,495,23,62,36,0.862,0.6102,0.3673,0.8143,0.4586,0.4014
Antiviral_005,496,22,56,42,0.8734,0.6562,0.4286,0.8702,0.5185,0.4628
Antiviral_006,500,19,62,35,0.8685,0.6481,0.3608,0.7994,0.4636,0.4176
Antiviral_006,497,22,53,44,0.8782,0.6667,0.4536,0.8803,0.5399,0.4843
Antiviral_006,502,17,60,37,0.875,0.6852,0.3814,0.8417,0.4901,0.4491
Antiviral_006,506,12,63,35,0.8782,0.7447,0.3571,0.8515,0.4828,0.4601
Antiviral_006,500,18,59,39,0.875,0.6842,0.398,0.8154,0.5032,0.4585
Antiviral_006,496,22,63,35,0.862,0.614,0.3571,0.8033,0.4516,0.3972
Antiviral_006,492,26,56,42,0.8669,0.6176,0.4286,0.821,0.506,0.4416
Antiviral_006,499,19,61,37,0.8701,0.6607,0.3776,0.8227,0.4805,0.4337
Antiviral_006,499,19,61,37,0.8701,0.6607,0.3776,0.8223,0.4805,0.4337
Antiviral_006,506,12,53,45,0.8945,0.7895,0.4592,0.873,0.5806,0.5503
Antiviral_007,494,25,65,32,0.8539,0.5614,0.3299,0.8252,0.4156,0.3541
Antiviral_007,501,18,55,42,0.8815,0.7,0.433,0.8874,0.535,0.4893
Antiviral_007,499,20,55,42,0.8782,0.6774,0.433,0.8517,0.5283,0.4775
Antiviral_007,505,13,60,38,0.8815,0.7451,0.3878,0.8554,0.5101,0.4814
Antiviral_007,501,17,57,41,0.8799,0.7069,0.4184,0.8457,0.5256,0.4829
Antiviral_007,497,21,58,40,0.8718,0.6557,0.4082,0.8133,0.5031,0.4502
Antiviral_007,491,27,57,41,0.8636,0.6029,0.4184,0.8348,0.494,0.4275
Antiviral_007,495,23,52,46,0.8782,0.6667,0.4694,0.8589,0.5509,0.4929
Antiviral_007,500,18,62,36,0.8701,0.6667,0.3673,0.8352,0.4737,0.4302
Antiviral_007,503,15,53,45,0.8896,0.75,0.4592,0.8788,0.5696,0.5307
Antiviral_008,498,21,65,32,0.8604,0.6038,0.3299,0.8315,0.4267,0.3759
Antiviral_008,501,18,51,46,0.888,0.7188,0.4742,0.8815,0.5714,0.5247
Antiviral_008,499,20,58,39,0.8734,0.661,0.4021,0.847,0.5,0.4499
Antiviral_008,506,12,61,37,0.8815,0.7551,0.3776,0.8846,0.5034,0.479
Antiviral_008,497,21,54,44,0.8782,0.6769,0.449,0.8488,0.5399,0.4863
Antiviral_008,496,22,57,41,0.8718,0.6508,0.4184,0.8105,0.5093,0.4537
Antiviral_008,494,24,54,44,0.8734,0.6471,0.449,0.8415,0.5301,0.47
Antiviral_008,497,21,53,45,0.8799,0.6818,0.4592,0.8787,0.5488,0.4951
Antiviral_008,502,16,56,42,0.8831,0.7241,0.4286,0.8426,0.5385,0.4981
Antiviral_008,504,14,55,43,0.888,0.7544,0.4388,0.8876,0.5548,0.5197
Antiviral_009,495,24,63,34,0.8588,0.5862,0.3505,0.8352,0.4387,0.3795
Antiviral_009,503,16,52,45,0.8896,0.7377,0.4639,0.8711,0.5696,0.5281
Antiviral_009,498,21,55,42,0.8766,0.6667,0.433,0.8503,0.525,0.4719
Antiviral_009,503,15,56,42,0.8847,0.7368,0.4286,0.88,0.5419,0.5044
Antiviral_009,494,24,52,46,0.8766,0.6571,0.4694,0.8544,0.5476,0.4876
Antiviral_009,496,22,56,42,0.8734,0.6562,0.4286,0.8164,0.5185,0.4628
Antiviral_009,492,26,52,46,0.8734,0.6389,0.4694,0.8493,0.5412,0.4772
Antiviral_009,495,23,51,47,0.8799,0.6714,0.4796,0.8714,0.5595,0.5015
Antiviral_009,504,14,58,40,0.8831,0.7407,0.4082,0.8584,0.5263,0.4929
Antiviral_009,503,15,50,48,0.8945,0.7619,0.4898,0.886,0.5963,0.5563
Antiviral_010,494,25,61,36,0.8604,0.5902,0.3711,0.8498,0.4557,0.3938
Antiviral_010,506,13,50,47,0.8977,0.7833,0.4845,0.8952,0.5987,0.5645
Antiviral_010,495,24,55,42,0.8718,0.6364,0.433,0.8437,0.5153,0.4555
Antiviral_010,501,17,59,39,0.8766,0.6964,0.398,0.8798,0.5065,0.4646
Antiviral_010,500,18,55,43,0.8815,0.7049,0.4388,0.8537,0.5409,0.4947
Antiviral_010,497,21,58,40,0.8718,0.6557,0.4082,0.8192,0.5031,0.4502
Antiviral_010,497,21,55,43,0.8766,0.6719,0.4388,0.8406,0.5309,0.4774
Antiviral_010,496,22,50,48,0.8831,0.6857,0.4898,0.8842,0.5714,0.5155
Antiviral_010,505,13,58,40,0.8847,0.7547,0.4082,0.8345,0.5298,0.4996
Antiviral_010,506,12,52,46,0.8961,0.7931,0.4694,0.8759,0.5897,0.5589
Antiviral_011,493,26,60,37,0.8604,0.5873,0.3814,0.8537,0.4625,0.3983
Antiviral_011,503,16,49,48,0.8945,0.75,0.4948,0.892,0.5963,0.5539
Antiviral_011,497,22,52,45,0.8799,0.6716,0.4639,0.8526,0.5488,0.4931
Antiviral_011,503,15,52,46,0.8912,0.7541,0.4694,0.8844,0.5786,0.5393
Antiviral_011,500,18,48,50,0.8929,0.7353,0.5102,0.8646,0.6024,0.5549
Antiviral_011,499,19,60,38,0.8718,0.6667,0.3878,0.8375,0.4903,0.4431
Antiviral_011,496,22,54,44,0.8766,0.6667,0.449,0.8456,0.5366,0.4807
Antiviral_011,494,24,51,47,0.8782,0.662,0.4796,0.8902,0.5562,0.4962
Antiviral_011,504,14,56,42,0.8864,0.75,0.4286,0.8376,0.5455,0.5109
Antiviral_011,501,17,50,48,0.8912,0.7385,0.4898,0.8842,0.589,0.5441
Antiviral_012,497,22,64,33,0.8604,0.6,0.3402,0.8648,0.4342,0.3804
Antiviral_012,506,13,50,47,0.8977,0.7833,0.4845,0.8904,0.5987,0.5645
Antiviral_012,498,21,58,39,0.8718,0.65,0.4021,0.854,0.4968,0.4442
Antiviral_012,503,15,57,41,0.8831,0.7321,0.4184,0.8863,0.5325,0.4954
Antiviral_012,497,21,52,46,0.8815,0.6866,0.4694,0.8596,0.5576,0.5038
Antiviral_012,498,20,55,43,0.8782,0.6825,0.4388,0.8323,0.5342,0.483
Antiviral_012,499,19,55,43,0.8799,0.6935,0.4388,0.8498,0.5375,0.4888
Antiviral_012,498,20,52,46,0.8831,0.697,0.4694,0.8879,0.561,0.5094
Antiviral_012,504,14,59,39,0.8815,0.7358,0.398,0.8403,0.5166,0.4838
Antiviral_012,498,20,50,48,0.8864,0.7059,0.4898,0.8879,0.5783,0.5266
Antiviral_013,498,21,62,35,0.8653,0.625,0.3608,0.8582,0.4575,0.4059
Antiviral_013,505,14,50,47,0.8961,0.7705,0.4845,0.8918,0.5949,0.558
Antiviral_013,496,23,58,39,0.8685,0.629,0.4021,0.8441,0.4906,0.4331
Antiviral_013,504,14,61,37,0.8782,0.7255,0.3776,0.8888,0.4966,0.4652
Antiviral_013,501,17,54,44,0.8847,0.7213,0.449,0.8545,0.5535,0.5096
Antiviral_013,497,21,60,38,0.8685,0.6441,0.3878,0.8321,0.4841,0.4315
Antiviral_013,500,18,54,44,0.8831,0.7097,0.449,0.8481,0.55,0.5036
Antiviral_013,494,24,51,47,0.8782,0.662,0.4796,0.894,0.5562,0.4962
Antiviral_013,504,14,59,39,0.8815,0.7358,0.398,0.8393,0.5166,0.4838
Antiviral_013,505,13,52,46,0.8945,0.7797,0.4694,0.8898,0.586,0.5522
Antiviral_014,500,19,58,39,0.875,0.6724,0.4021,0.868,0.5032,0.4558
Antiviral_014,506,13,43,54,0.9091,0.806,0.5567,0.908,0.6585,0.622
Antiviral_014,496,23,50,47,0.8815,0.6714,0.4845,0.8521,0.5629,0.5052
Antiviral_014,505,13,49,49,0.8994,0.7903,0.5,0.904,0.6125,0.5773
Antiviral_014,501,17,50,48,0.8912,0.7385,0.4898,0.8696,0.589,0.5441
Antiviral_014,495,23,55,43,0.8734,0.6515,0.4388,0.8383,0.5244,0.4664
Antiviral_014,502,16,51,47,0.8912,0.746,0.4796,0.8499,0.5839,0.5416
Antiviral_014,503,15,50,48,0.8945,0.7619,0.4898,0.8975,0.5963,0.5563
Antiviral_014,505,13,56,42,0.888,0.7636,0.4286,0.8443,0.549,0.5175
Antiviral_014,505,13,47,51,0.9026,0.7969,0.5204,0.8946,0.6296,0.5937
Antiviral_015,500,19,55,42,0.8799,0.6885,0.433,0.8759,0.5316,0.4834
Antiviral_015,511,8,42,55,0.9188,0.873,0.567,0.9116,0.6875,0.6631
Antiviral_015,500,19,52,45,0.8847,0.7031,0.4639,0.8555,0.559,0.5101
Antiviral_015,503,15,45,53,0.9026,0.7794,0.5408,0.9013,0.6386,0.5974
Antiviral_015,502,16,51,47,0.8912,0.746,0.4796,0.8782,0.5839,0.5416
Antiviral_015,500,18,55,43,0.8815,0.7049,0.4388,0.8454,0.5409,0.4947
Antiviral_015,502,16,54,44,0.8864,0.7333,0.449,0.8594,0.557,0.5157
Antiviral_015,502,16,46,52,0.8994,0.7647,0.5306,0.8986,0.6265,0.5833
Antiviral_015,507,11,56,42,0.8912,0.7925,0.4286,0.8472,0.5563,0.5313
Antiviral_015,507,11,47,51,0.9058,0.8226,0.5204,0.8991,0.6375,0.6068
Antiviral_016,498,21,57,40,0.8734,0.6557,0.4124,0.8801,0.5063,0.4535
Antiviral_016,510,9,44,53,0.914,0.8548,0.5464,0.9201,0.6667,0.6405
Antiviral_016,499,20,51,46,0.8847,0.697,0.4742,0.8501,0.5644,0.5131
Antiviral_016,499,19,51,47,0.8864,0.7121,0.4796,0.9056,0.5732,0.5238
Antiviral_016,503,15,54,44,0.888,0.7458,0.449,0.8752,0.5605,0.522
Antiviral_016,494,24,51,47,0.8782,0.662,0.4796,0.8408,0.5562,0.4962
