label,tn,fp,fn,tp,acc,pre,recall,auc,f1,mcc
MammalianCells_001,226,138,138,114,0.5519,0.4524,0.4524,0.5748,0.4524,0.0733
MammalianCells_001,215,149,127,125,0.5519,0.4562,0.496,0.5898,0.4753,0.0858
MammalianCells_001,224,140,139,113,0.5471,0.4466,0.4484,0.5676,0.4475,0.0638
MammalianCells_001,224,140,126,126,0.5682,0.4737,0.5,0.5752,0.4865,0.1145
MammalianCells_001,222,143,139,112,0.5422,0.4392,0.4462,0.5628,0.4427,0.0543
MammalianCells_001,231,134,151,100,0.5373,0.4274,0.3984,0.536,0.4124,0.0317
MammalianCells_001,242,123,140,111,0.5731,0.4744,0.4422,0.5691,0.4577,0.1065
MammalianCells_001,228,137,136,115,0.5568,0.4563,0.4582,0.5681,0.4573,0.0828
MammalianCells_001,230,135,122,129,0.5828,0.4886,0.5139,0.5977,0.501,0.1431
MammalianCells_001,226,139,148,103,0.5341,0.4256,0.4104,0.5644,0.4178,0.0297
MammalianCells_002,254,110,140,112,0.5942,0.5045,0.4444,0.6174,0.4726,0.1457
MammalianCells_002,268,96,141,111,0.6153,0.5362,0.4405,0.6461,0.4837,0.184
MammalianCells_002,272,92,142,110,0.6201,0.5446,0.4365,0.6272,0.4846,0.1925
MammalianCells_002,251,113,137,115,0.5942,0.5044,0.4563,0.5959,0.4792,0.1486
MammalianCells_002,248,117,127,124,0.6039,0.5145,0.494,0.6104,0.5041,0.1747
MammalianCells_002,264,101,144,107,0.6023,0.5144,0.4263,0.61,0.4662,0.1554
MammalianCells_002,266,99,144,107,0.6055,0.5194,0.4263,0.6344,0.4683,0.1615
MammalianCells_002,262,103,133,118,0.6169,0.5339,0.4701,0.6088,0.5,0.1925
MammalianCells_002,271,94,146,105,0.6104,0.5276,0.4183,0.6054,0.4667,0.1689
MammalianCells_002,266,99,137,114,0.6169,0.5352,0.4542,0.6494,0.4914,0.189
MammalianCells_003,291,73,113,139,0.6981,0.6557,0.5516,0.7266,0.5991,0.3633
MammalianCells_003,281,83,120,132,0.6705,0.614,0.5238,0.7112,0.5653,0.3051
MammalianCells_003,293,71,117,135,0.6948,0.6553,0.5357,0.7283,0.5895,0.355
MammalianCells_003,278,86,119,133,0.6672,0.6073,0.5278,0.6982,0.5648,0.2994
MammalianCells_003,279,86,117,134,0.6705,0.6091,0.5339,0.7091,0.569,0.3058
MammalianCells_003,284,81,111,140,0.6883,0.6335,0.5578,0.7279,0.5932,0.3441
MammalianCells_003,282,83,118,133,0.6737,0.6157,0.5299,0.7193,0.5696,0.3115
MammalianCells_003,263,102,112,139,0.6526,0.5768,0.5538,0.6781,0.565,0.2762
MammalianCells_003,280,85,124,127,0.6607,0.5991,0.506,0.682,0.5486,0.2825
MammalianCells_003,293,72,122,129,0.6851,0.6418,0.5139,0.7203,0.5708,0.3319
MammalianCells_004,284,80,105,147,0.6997,0.6476,0.5833,0.7345,0.6138,0.3705
MammalianCells_004,281,83,110,142,0.6867,0.6311,0.5635,0.7438,0.5954,0.3426
MammalianCells_004,290,74,104,148,0.711,0.6667,0.5873,0.7636,0.6245,0.3932
MammalianCells_004,267,97,111,141,0.6623,0.5924,0.5595,0.7216,0.5755,0.2959
MammalianCells_004,280,85,108,143,0.6867,0.6272,0.5697,0.751,0.5971,0.3428
MammalianCells_004,273,92,102,149,0.6851,0.6183,0.5936,0.7269,0.6057,0.3439
MammalianCells_004,287,78,96,155,0.7175,0.6652,0.6175,0.758,0.6405,0.4092
MammalianCells_004,274,91,111,140,0.6721,0.6061,0.5578,0.7113,0.5809,0.3131
MammalianCells_004,277,88,105,146,0.6867,0.6239,0.5817,0.7352,0.6021,0.3448
MammalianCells_004,291,74,105,146,0.7094,0.6636,0.5817,0.7613,0.62,0.3886
MammalianCells_005,283,81,103,149,0.7013,0.6478,0.5913,0.7509,0.6183,0.3748
MammalianCells_005,287,77,109,143,0.6981,0.65,0.5675,0.7615,0.6059,0.3652
MammalianCells_005,292,72,93,159,0.7321,0.6883,0.631,0.7759,0.6584,0.4399
MammalianCells_005,274,90,105,147,0.6834,0.6203,0.5833,0.7512,0.6012,0.3396
MammalianCells_005,281,84,103,148,0.6964,0.6379,0.5896,0.7692,0.6128,0.3646
MammalianCells_005,270,95,98,153,0.6867,0.6169,0.6096,0.756,0.6132,0.35
MammalianCells_005,286,79,98,153,0.7127,0.6595,0.6096,0.7705,0.6335,0.3987
MammalianCells_005,286,79,111,140,0.6916,0.6393,0.5578,0.728,0.5957,0.3504
MammalianCells_005,285,80,106,145,0.6981,0.6444,0.5777,0.7509,0.6092,0.3659
MammalianCells_005,293,72,110,141,0.7045,0.662,0.5618,0.773,0.6078,0.3766
MammalianCells_006,280,84,98,154,0.7045,0.6471,0.6111,0.7614,0.6286,0.3841
MammalianCells_006,278,86,110,142,0.6818,0.6228,0.5635,0.7591,0.5917,0.3332
MammalianCells_006,290,74,98,154,0.7208,0.6754,0.6111,0.7881,0.6417,0.4153
MammalianCells_006,282,82,106,146,0.6948,0.6404,0.5794,0.7592,0.6083,0.3606
MammalianCells_006,279,86,100,151,0.6981,0.6371,0.6016,0.7755,0.6189,0.3696
MammalianCells_006,280,85,98,153,0.7029,0.6429,0.6096,0.7553,0.6258,0.3801
MammalianCells_006,282,83,104,147,0.6964,0.6391,0.5857,0.782,0.6112,0.3639
MammalianCells_006,288,77,115,136,0.6883,0.6385,0.5418,0.7322,0.5862,0.3418
MammalianCells_006,281,84,109,142,0.6867,0.6283,0.5657,0.7531,0.5954,0.3422
MammalianCells_006,291,74,109,142,0.7029,0.6574,0.5657,0.7715,0.6081,0.3738
MammalianCells_007,283,81,101,151,0.7045,0.6509,0.5992,0.7592,0.624,0.3822
MammalianCells_007,285,79,114,138,0.6867,0.6359,0.5476,0.7578,0.5885,0.3403
MammalianCells_007,290,74,94,158,0.7273,0.681,0.627,0.7919,0.6529,0.4299
MammalianCells_007,278,86,107,145,0.6867,0.6277,0.5754,0.7563,0.6004,0.3444
MammalianCells_007,283,82,98,153,0.7078,0.6511,0.6096,0.7782,0.6296,0.3893
MammalianCells_007,274,91,101,150,0.6883,0.6224,0.5976,0.7537,0.6098,0.3507
MammalianCells_007,291,74,102,149,0.7143,0.6682,0.5936,0.7894,0.6287,0.3997
MammalianCells_007,280,85,113,138,0.6786,0.6188,0.5498,0.7288,0.5823,0.324
MammalianCells_007,280,85,110,141,0.6834,0.6239,0.5618,0.7515,0.5912,0.3353
MammalianCells_007,297,68,105,146,0.7192,0.6822,0.5817,0.768,0.628,0.408
MammalianCells_008,285,79,101,151,0.7078,0.6565,0.5992,0.7544,0.6266,0.3885
MammalianCells_008,290,74,106,146,0.7078,0.6636,0.5794,0.7629,0.6186,0.3859
MammalianCells_008,298,66,97,155,0.7354,0.7014,0.6151,0.7923,0.6554,0.4446
MammalianCells_008,289,75,104,148,0.7094,0.6637,0.5873,0.7728,0.6232,0.3901
MammalianCells_008,298,67,96,155,0.7354,0.6982,0.6175,0.8093,0.6554,0.4441
MammalianCells_008,280,85,102,149,0.6964,0.6368,0.5936,0.761,0.6144,0.3652
MammalianCells_008,295,70,95,156,0.7321,0.6903,0.6215,0.7962,0.6541,0.4381
MammalianCells_008,284,81,106,145,0.6964,0.6416,0.5777,0.7525,0.608,0.3627
MammalianCells_008,290,75,107,144,0.7045,0.6575,0.5737,0.7621,0.6128,0.378
MammalianCells_008,288,77,100,151,0.7127,0.6623,0.6016,0.7836,0.6305,0.3975
MammalianCells_009,284,80,98,154,0.711,0.6581,0.6111,0.7736,0.6337,0.3964
MammalianCells_009,291,73,96,156,0.7256,0.6812,0.619,0.7887,0.6486,0.4258
MammalianCells_009,301,63,92,160,0.7484,0.7175,0.6349,0.8146,0.6737,0.4725
MammalianCells_009,297,67,104,148,0.7224,0.6884,0.5873,0.8029,0.6338,0.4159
MammalianCells_009,291,74,84,167,0.7435,0.6929,0.6653,0.8205,0.6789,0.4658
MammalianCells_009,280,85,92,159,0.7127,0.6516,0.6335,0.7877,0.6424,0.4025
MammalianCells_009,291,74,92,159,0.7305,0.6824,0.6335,0.8066,0.657,0.4364
MammalianCells_009,287,78,107,144,0.6997,0.6486,0.5737,0.7683,0.6089,0.3684
MammalianCells_009,279,86,96,155,0.7045,0.6432,0.6175,0.7868,0.6301,0.3845
MammalianCells_009,294,71,96,155,0.7289,0.6858,0.6175,0.8053,0.6499,0.4313
MammalianCells_010,288,76,94,158,0.724,0.6752,0.627,0.7949,0.6502,0.4236
MammalianCells_010,295,69,97,155,0.7305,0.692,0.6151,0.8114,0.6513,0.4349
MammalianCells_010,298,66,94,158,0.7403,0.7054,0.627,0.8298,0.6639,0.4555
MammalianCells_010,299,65,97,155,0.737,0.7045,0.6151,0.8244,0.6568,0.4479
MammalianCells_010,296,69,82,169,0.7549,0.7101,0.6733,0.8259,0.6912,0.4887
MammalianCells_010,289,76,89,162,0.7321,0.6807,0.6454,0.7975,0.6626,0.4412
MammalianCells_010,300,65,99,152,0.7338,0.7005,0.6056,0.8196,0.6496,0.4397
MammalianCells_010,289,76,95,156,0.7224,0.6724,0.6215,0.7817,0.646,0.4191
MammalianCells_010,293,72,88,163,0.7403,0.6936,0.6494,0.8068,0.6708,0.4574
MammalianCells_010,306,59,92,159,0.7549,0.7294,0.6335,0.8177,0.678,0.4848
MammalianCells_011,291,73,96,156,0.7256,0.6812,0.619,0.8058,0.6486,0.4258
MammalianCells_011,295,69,87,165,0.7468,0.7051,0.6548,0.8154,0.679,0.4713
MammalianCells_011,303,61,90,162,0.7549,0.7265,0.6429,0.8334,0.6821,0.4862
MammalianCells_011,311,53,98,154,0.7549,0.744,0.6111,0.8302,0.671,0.4845
MammalianCells_011,296,69,88,163,0.7451,0.7026,0.6494,0.8236,0.6749,0.4668
MammalianCells_011,292,73,96,155,0.7256,0.6798,0.6175,0.8071,0.6472,0.4249
MammalianCells_011,302,63,89,162,0.7532,0.72,0.6454,0.8295,0.6807,0.4825
MammalianCells_011,295,70,95,156,0.7321,0.6903,0.6215,0.7984,0.6541,0.4381
MammalianCells_011,297,68,88,163,0.7468,0.7056,0.6494,0.8118,0.6763,0.47
MammalianCells_011,301,64,91,160,0.7484,0.7143,0.6375,0.8243,0.6737,0.472
MammalianCells_012,290,74,88,164,0.737,0.6891,0.6508,0.806,0.6694,0.4519
MammalianCells_012,291,73,87,165,0.7403,0.6933,0.6548,0.8303,0.6735,0.4586
MammalianCells_012,306,58,91,161,0.7581,0.7352,0.6389,0.8289,0.6837,0.4926
MammalianCells_012,303,61,99,153,0.7403,0.715,0.6071,0.8208,0.6567,0.4539
MammalianCells_012,299,66,77,174,0.7679,0.725,0.6932,0.8399,0.7088,0.5163
MammalianCells_012,291,74,88,163,0.737,0.6878,0.6494,0.8088,0.668,0.4511
MammalianCells_012,299,66,92,159,0.7435,0.7067,0.6335,0.8237,0.6681,0.4619
MammalianCells_012,300,65,93,158,0.7435,0.7085,0.6295,0.8053,0.6667,0.4615
MammalianCells_012,296,69,89,162,0.7435,0.7013,0.6454,0.8112,0.6722,0.4632
MammalianCells_012,297,68,92,159,0.7403,0.7004,0.6335,0.8204,0.6653,0.4555
MammalianCells_013,297,67,86,166,0.7516,0.7124,0.6587,0.8197,0.6845,0.4812
MammalianCells_013,297,67,93,159,0.7403,0.7035,0.631,0.8319,0.6653,0.4559
MammalianCells_013,305,59,87,165,0.763,0.7366,0.6548,0.837,0.6933,0.5036
MammalianCells_013,309,55,99,153,0.75,0.7356,0.6071,0.8333,0.6652,0.4741
MammalianCells_013,305,60,82,169,0.7695,0.738,0.6733,0.8413,0.7042,0.5174
MammalianCells_013,289,76,84,167,0.7403,0.6872,0.6653,0.8219,0.6761,0.4596
MammalianCells_013,302,63,93,158,0.7468,0.7149,0.6295,0.8171,0.6695,0.468
MammalianCells_013,301,64,95,156,0.7419,0.7091,0.6215,0.8078,0.6624,0.4575
MammalianCells_013,301,64,89,162,0.7516,0.7168,0.6454,0.8093,0.6792,0.4793
MammalianCells_013,308,57,91,160,0.7597,0.7373,0.6375,0.8369,0.6838,0.4951
MammalianCells_014,299,65,88,164,0.7516,0.7162,0.6508,0.8202,0.6819,0.4804
MammalianCells_014,297,67,93,159,0.7403,0.7035,0.631,0.8355,0.6653,0.4559
MammalianCells_014,308,56,81,171,0.7776,0.7533,0.6786,0.8416,0.714,0.5348
MammalianCells_014,306,58,91,161,0.7581,0.7352,0.6389,0.8318,0.6837,0.4926
MammalianCells_014,306,59,76,175,0.7808,0.7479,0.6972,0.8493,0.7216,0.5422
MammalianCells_014,288,77,83,168,0.7403,0.6857,0.6693,0.8207,0.6774,0.4602
MammalianCells_014,297,68,92,159,0.7403,0.7004,0.6335,0.8166,0.6653,0.4555
MammalianCells_014,295,70,95,156,0.7321,0.6903,0.6215,0.8121,0.6541,0.4381
MammalianCells_014,300,65,95,156,0.7403,0.7059,0.6215,0.8131,0.661,0.4543
MammalianCells_014,303,62,86,165,0.7597,0.7269,0.6574,0.8405,0.6904,0.4966
MammalianCells_015,295,69,89,163,0.7435,0.7026,0.6468,0.8228,0.6736,0.464
MammalianCells_015,297,67,88,164,0.7484,0.71,0.6508,0.8427,0.6791,0.474
MammalianCells_015,305,59,85,167,0.7662,0.7389,0.6627,0.8421,0.6987,0.5107
